id,character_style,intensity,length_chars,punctuation,phoneme_tags,near_pair_group,reading_ease_score
CONFUSE_001,teacher,strong,9,！,DAKUON,P13,5
CONFUSE_002,none,strong,20,？,DAKUON,P05,5
CONFUSE_003,none,weak,38,。,CHOON;DAKUON,P02,4
CONFUSE_004,adventurer,weak,37,。,SOKUON;DAKUON,P15,4
CONFUSE_005,none,weak,22,。,SOKUON;DAKUON,,5
CONFUSE_006,none,strong,39,？,SOKUON;HATSUON;CHOON;DAKUON,,4
CONFUSE_007,none,strong,19,？,SOKUON;HATSUON;DAKUON,,5
CONFUSE_008,none,strong,8,？,SOKUON;DAKUON,,5
CONFUSE_009,none,weak,38,。,SOKUON;DAKUON;GAIRAION,,4
CONFUSE_010,none,weak,21,。,SOKUON;DAKUON;GAIRAION,,5
CONFUSE_011,teacher,weak,39,。,SOKUON;CHOON;DAKUON,P01,4
CONFUSE_012,none,weak,36,。,HATSUON;DAKUON,,4
CONFUSE_013,none,weak,22,。,DAKUON,P17,5
CONFUSE_014,none,weak,37,。,SOKUON;HATSUON;DAKUON,,4
CONFUSE_015,none,weak,12,。,DAKUON,,5
CONFUSE_016,none,weak,20,。,DAKUON,,5
CONFUSE_017,none,weak,36,。,HATSUON;CHOON;DAKUON;HANDAKUON,P16,4
CONFUSE_018,friend,strong,19,？,CHOON;DAKUON,,5
CONFUSE_019,none,weak,38,。,CHOON;HANDAKUON,P11,4
CONFUSE_020,none,strong,21,！,YOUON;SOKUON;CHOON;DAKUON;HANDAKUON,,5
CONFUSE_021,none,strong,10,！,YOUON;SOKUON;DAKUON,P04,5
CONFUSE_022,adventurer,weak,24,。,DAKUON,,5
CONFUSE_023,knight,weak,36,。,DAKUON,,4
CONFUSE_024,teacher,weak,37,。,HATSUON;DAKUON;GAIRAION,,4
CONFUSE_025,none,weak,24,。,CHOON;DAKUON;HANDAKUON,P07,5
CONFUSE_026,none,weak,38,。,DAKUON,,4
CONFUSE_027,none,weak,23,。,DAKUON,,5
CONFUSE_028,none,weak,9,。,HATSUON;DAKUON,,5
CONFUSE_029,none,weak,38,。,SOKUON;CHOON;GAIRAION,,4
CONFUSE_030,none,strong,19,！,SOKUON;HATSUON;CHOON;DAKUON,,5
CONFUSE_031,none,weak,41,。,DAKUON,,4
CONFUSE_032,none,weak,36,。,SOKUON;DAKUON,,4
CONFUSE_033,none,weak,20,。,SOKUON;DAKUON,,5
CONFUSE_034,none,weak,39,。,DAKUON,,4
CONFUSE_035,none,strong,10,！,CHOON;DAKUON,,5
CONFUSE_036,none,strong,21,？,DAKUON,P05,5
CONFUSE_037,none,weak,37,。,HATSUON;CHOON;DAKUON,,4
CONFUSE_038,none,weak,28,。,SOKUON;HATSUON;DAKUON,,4
CONFUSE_039,adventurer,weak,36,。,HATSUON;DAKUON;HANDAKUON,,4
CONFUSE_040,none,weak,24,。,,,5
CONFUSE_041,none,weak,9,。,DAKUON,,5
CONFUSE_042,none,weak,22,。,SOKUON;DAKUON,P15,5
CONFUSE_043,none,weak,38,。,HATSUON;DAKUON,P10,4
CONFUSE_044,none,weak,38,。,SOKUON;DAKUON,,4
