NORMAL_001 おはよう。今日もいい天気だね。
NORMAL_002 昨日は遅くまでありがとう。
NORMAL_003 そういえば、あの件はどうなったの。
NORMAL_004 この前買った本、すごく面白かったよ。
NORMAL_005 今度の週末、予定ある。
NORMAL_006 ちょっと相談したいことがあるんだけど。
NORMAL_007 お疲れ様です。今日は早いですね。
NORMAL_008 これ、よかったら食べてください。
NORMAL_009 明日の会議、何時からでしたっけ。
NORMAL_010 最近どう。元気にしてる。
NORMAL_011 そっちは何時頃に終わりそう。
NORMAL_012 今日のランチ、どこに行く。
NORMAL_013 ちょっと手伝ってもらえますか。
NORMAL_014 それ、私も同じこと思ってた。
NORMAL_015 このカフェ、落ち着くね。
NORMAL_016 今から買い物に行くけど、何か買ってこようか。
NORMAL_017 最近忙しそうだね。
NORMAL_018 それ、いい案だと思うよ。
NORMAL_019 久しぶり。元気だった。
NORMAL_020 今度一緒にご飯でも行こうよ。
NORMAL_021 この資料、後で確認してもらえますか。
NORMAL_022 それって、どういう意味。
NORMAL_023 今日は少し寒いね。
NORMAL_024 この辺にいいお店あるかな。
NORMAL_025 ちょっと休憩しませんか。
NORMAL_026 そろそろ帰ろうか。
NORMAL_027 これ、どうやって使うの。
NORMAL_028 今週の予定、教えてもらえる。
NORMAL_029 それ、面白そうだね。
NORMAL_030 ここから駅までどのくらいかかる。
NORMAL_031 今度のプロジェクト、楽しみだね。
NORMAL_032 これ、君にあげるよ。
NORMAL_033 時間があるときにでも見てください。
NORMAL_034 そっちはどんな感じ。
NORMAL_035 ちょっと遅れるかもしれません。
NORMAL_036 このあと予定ありますか。
NORMAL_037 それ、便利そうだね。
NORMAL_038 今日は何食べたい。
NORMAL_039 先に失礼します。
NORMAL_040 そのアイデア、いいかもね。
NORMAL_041 ご主人様、お茶の準備ができました。
NORMAL_042 この映画、見た。
NORMAL_043 最近新しい趣味とか始めた。
NORMAL_044 それ、確認しておきます。
NORMAL_045 今日はここまでにしようか。
NORMAL_046 ちょっと待ってて。
NORMAL_047 この前言ってた店、行ってみたよ。
NORMAL_048 そういうことだったんだね。
NORMAL_049 今何してるの。
NORMAL_050 それ、私も欲しいな。
NORMAL_051 また今度連絡するね。
NORMAL_052 これ、結構おすすめです。
NORMAL_053 今日は早めに帰れそう。
NORMAL_054 そうなんだ。知らなかったよ。
NORMAL_055 ここ、初めて来たけどいいね。
NORMAL_056 この季節が一番好きだな。
NORMAL_057 そろそろ準備しようか。
NORMAL_058 今度時間があるときに教えて。
NORMAL_059 それ、やってみたかったんだ。
NORMAL_060 今日もお疲れさまでした。
NORMAL_061 ちょっと考えさせてください。
NORMAL_062 それ、いいね。やってみよう。
NORMAL_063 今週は忙しくなりそうだ。
NORMAL_064 この近くに美味しい店あるよ。
NORMAL_065 また今度ゆっくり話そう。
NORMAL_066 それ、どこで買ったの。
NORMAL_067 今日は暖かいね。
NORMAL_068 そっちの進捗はどう。
NORMAL_069 ちょっと時間ありますか。
NORMAL_070 これ、終わったら教えてください。
NORMAL_071 そういえば、あれどうなった。
NORMAL_072 今度の休み、何するの。
NORMAL_073 それ、面白いね。
NORMAL_074 ここでちょっと休憩しよう。
NORMAL_075 明日は早いから、そろそろ帰るね。
NORMAL_076 これ、よかったらどうぞ。
NORMAL_077 そっちはどうだった。
NORMAL_078 今日は何か予定ある。
NORMAL_079 それ、私も同じように思ってたよ。
NORMAL_080 この前の話、聞いてもいい。
NORMAL_081 今からでも間に合うかな。
NORMAL_082 それ、確認してみるね。
NORMAL_083 ちょっと聞きたいことがあるんだけど。
NORMAL_084 今日はいい一日だったね。
NORMAL_085 そうだね。それがいいと思う。
NORMAL_086 この辺で食事でもしようか。
NORMAL_087 また連絡してください。
NORMAL_088 それ、後で試してみるよ。
NORMAL_089 今週末は何する。
NORMAL_090 ここ、居心地いいね。
NORMAL_091 お嬢さま、お召し物の準備ができております。
NORMAL_092 そろそろ行かないとね。
NORMAL_093 これ、面白かったよ。
NORMAL_094 今日は調子どう。
NORMAL_095 それ、いい考えだね。
NORMAL_096 ちょっと待ってもらえますか。
NORMAL_097 この前のあれ、ありがとう。
NORMAL_098 今度ゆっくり話そうよ。
NORMAL_099 それ、どう思う。
NORMAL_100 今日はここまでにしましょう。
NORMAL_101 ちょっと確認させてください。
NORMAL_102 それ、私も気になってた。
NORMAL_103 今週は予定が詰まってるんだ。
NORMAL_104 この店、美味しいよね。
NORMAL_105 また今度一緒に行こう。
NORMAL_106 それ、どこで見つけたの。
NORMAL_107 今日はいい天気だね。
NORMAL_108 そっちの状況はどう。
NORMAL_109 ちょっと相談に乗ってもらえる。
NORMAL_110 これ、後で確認します。
NORMAL_111 そういえば、あの話どうなったの。
NORMAL_112 今度の予定、教えてね。
NORMAL_113 それ、興味深いね。
NORMAL_114 ここで少し休もうか。
NORMAL_115 明日また連絡するね。
NORMAL_116 これ、使ってみてください。
NORMAL_117 そっちの様子はどう。
NORMAL_118 今日は何か予定あるの。
NORMAL_119 それ、私も賛成だよ。
NORMAL_120 この前の件、話してもいい。
NORMAL_121 今からでも大丈夫かな。
NORMAL_122 それ、確かめてみます。
NORMAL_123 ちょっと質問したいんだけど。
NORMAL_124 今日も一日お疲れさまでした。
NORMAL_125 そうだね。そうしよう。
NORMAL_126 この辺りでランチしようか。
NORMAL_127 また後で連絡します。
NORMAL_128 それ、後で見てみるね。
NORMAL_129 今週末は何をする予定。
