FEAR_001 怖い。本当に怖いよ。
FEAR_002 どうしよう。不安で仕方がない。
FEAR_003 このままじゃダメだ。
FEAR_004 何かが近づいてくる気がする。
FEAR_005 もう限界だ。逃げたい。
FEAR_006 誰か助けて。お願いだから。
FEAR_007 この先どうなるか分からなくて怖い。
FEAR_008 足が震えて動けない。
FEAR_009 失敗したらどうしよう。
FEAR_010 もう取り返しがつかないかもしれない。
FEAR_011 暗闇の中に何かがいる気がする。
FEAR_012 心臓がバクバクして止まらない。
FEAR_013 このまま終わってしまうのかな。
FEAR_014 誰も信じられない。
FEAR_015 何も見えなくて怖い。
FEAR_016 このままじゃ取り残される。
FEAR_017 未来が見えなくて不安だ。
FEAR_018 全てが崩れていく気がする。
FEAR_019 もう逃げ場がないのかもしれない。
FEAR_020 誰かに見られている気がする。
FEAR_021 このまま一人になってしまうのかな。
FEAR_022 怖くて動けない。体が固まってる。
FEAR_023 失うものが多すぎて不安だ。
FEAR_024 誰も助けに来てくれない。
FEAR_025 この先に何が待っているのか。
FEAR_026 もう引き返せない。
FEAR_027 全てが終わってしまう気がする。
FEAR_028 一人でこの恐怖に耐えられない。
FEAR_029 誰かそばにいてほしい。
FEAR_030 不安で胸が苦しい。
FEAR_031 このまま消えてしまいたい。
FEAR_032 何も信じられなくなってきた。
FEAR_033 全てが怖くて仕方がない。
FEAR_034 もう前に進めない。
FEAR_035 この恐怖から逃れたい。
FEAR_036 誰にも理解されない恐怖がある。
FEAR_037 一歩も動けない。足が竦んでる。
FEAR_038 失敗が怖くて何もできない。
FEAR_039 このまま置いていかれるのかな。
FEAR_040 不安が消えない。ずっと消えないんだ。
FEAR_041 ご主人様、私には耐えられません。
FEAR_042 何かが起こりそうで怖い。
FEAR_043 もう安全な場所なんてないのかもしれない。
FEAR_044 全てを失ってしまうかもしれない。
FEAR_045 誰かに狙われている気がする。
FEAR_046 この不安はいつまで続くのか。
FEAR_047 もう耐えられない。限界だ。
FEAR_048 暗闇が迫ってくる気がする。
FEAR_049 一人で立ち向かえる気がしない。
FEAR_050 誰も味方がいない気がする。
FEAR_051 このまま終わってしまうのかな。
FEAR_052 怖くて目を開けられない。
FEAR_053 失敗したら全てが終わる。
FEAR_054 もう戻れない。引き返せないんだ。
FEAR_055 全てが崩壊していく気がする。
FEAR_056 誰かが後ろにいる気がする。
FEAR_057 この先に希望なんてあるのかな。
FEAR_058 不安で押しつぶされそうだ。
FEAR_059 もう逃げ場がない。
FEAR_060 一人になるのが怖い。
FEAR_061 誰も助けてくれない。
FEAR_062 このまま取り残されてしまう。
FEAR_063 何も見えなくて不安だ。
FEAR_064 足が震えて止まらない。
FEAR_065 失うものばかりで怖い。
FEAR_066 このまま消えてしまいそうだ。
FEAR_067 全てが終わる気がする。
FEAR_068 誰にも分かってもらえない。
FEAR_069 この恐怖から逃れられない。
FEAR_070 もう限界を超えてる。
FEAR_071 不安で胸が締め付けられる。
FEAR_072 何かが近づいてくる。
FEAR_073 一歩も動けない。体が固まってる。
FEAR_074 失敗が怖くて何もできないんだ。
FEAR_075 このまま置いていかれる。
FEAR_076 不安が消えない。ずっと消えない。
FEAR_077 何かが起こりそうで怖いんだ。
FEAR_078 もう安全な場所なんてない。
FEAR_079 全てを失ってしまいそうだ。
FEAR_080 誰かに狙われている。
FEAR_081 この不安はいつまで続くんだ。
FEAR_082 もう耐えられない。本当に限界だ。
FEAR_083 暗闇が迫ってくる。
FEAR_084 一人で立ち向かえない。
FEAR_085 誰も味方がいない。
FEAR_086 このまま終わってしまうのかな。
FEAR_087 怖くて目を開けられないんだ。
FEAR_088 失敗したら全てが終わってしまう。
FEAR_089 もう戻れない。引き返せない。
FEAR_090 全てが崩壊していく。
FEAR_091 お嬢さま、私にはもう無理です。
FEAR_092 誰かが後ろにいる。
FEAR_093 この先に希望なんてあるのか。
FEAR_094 不安で押しつぶされそうだよ。
FEAR_095 もう逃げ場がないんだ。
FEAR_096 一人になるのが怖いよ。
FEAR_097 誰も助けてくれないんだ。
FEAR_098 このまま取り残されてしまうのかな。
FEAR_099 何も見えなくて不安で仕方がない。
FEAR_100 足が震えて止まらないんだ。
FEAR_101 失うものばかりで怖いよ。
FEAR_102 このまま消えてしまいそうだ。
FEAR_103 全てが終わる気がするんだ。
FEAR_104 誰にも分かってもらえない。
FEAR_105 この恐怖から逃れられないよ。
FEAR_106 もう限界を超えてる。
FEAR_107 不安で胸が締め付けられるんだ。
FEAR_108 何かが近づいてくる気がする。
FEAR_109 一歩も動けない。体が固まってるんだ。
FEAR_110 失敗が怖くて何もできない。
FEAR_111 このまま置いていかれるのかな。
FEAR_112 不安が消えない。ずっと消えないんだ。
FEAR_113 何かが起こりそうで怖い。
FEAR_114 もう安全な場所なんてないんだ。
FEAR_115 全てを失ってしまいそうだよ。
FEAR_116 誰かに狙われている気がする。
FEAR_117 この不安はいつまで続くんだ。
FEAR_118 もう耐えられない。本当に限界だよ。
FEAR_119 暗闇が迫ってくるんだ。
FEAR_120 一人で立ち向かえる気がしない。
FEAR_121 誰も味方がいないよ。
FEAR_122 このまま終わってしまうのかな。
FEAR_123 怖くて目を開けられない。
FEAR_124 失敗したら全てが終わる。
FEAR_125 もう戻れない。引き返せないんだ。
FEAR_126 全てが崩壊していく気がする。
FEAR_127 誰かが後ろにいる気がするんだ。
FEAR_128 この先に希望なんてあるのか。
FEAR_129 不安で押しつぶされそうだ。
FEAR_130 もう逃げ場がない。
FEAR_131 一人になるのが怖いよ。
FEAR_132 誰も助けてくれないんだ。
FEAR_133 このまま取り残されてしまう。
FEAR_134 何も見えなくて不安だ。
FEAR_135 足が震えて止まらないんだ。
FEAR_136 失うものばかりで怖い。
FEAR_137 このまま消えてしまいそうだ。
FEAR_138 全てが終わる気がする。
FEAR_139 誰にも分かってもらえないよ。
FEAR_140 この恐怖から逃れられない。
FEAR_141 ご主人様、どうかお守りください。
FEAR_142 もう限界を超えてるんだ。
FEAR_143 不安で胸が締め付けられる。
FEAR_144 何かが近づいてくる。
FEAR_145 一歩も動けない。体が固まってる。
FEAR_146 失敗が怖くて何もできないんだ。
FEAR_147 このまま置いていかれるのかな。
FEAR_148 不安が消えない。ずっと消えない。
FEAR_149 何かが起こりそうで怖いんだ。
FEAR_150 もう安全な場所なんてない。
FEAR_151 全てを失ってしまいそうだ。
FEAR_152 誰かに狙われている。
FEAR_153 この不安はいつまで続くんだ。
FEAR_154 もう耐えられない。本当に限界だ。
FEAR_155 暗闇が迫ってくる。
FEAR_156 一人で立ち向かえない。
FEAR_157 誰も味方がいない。
FEAR_158 このまま終わってしまうのかな。
FEAR_159 怖くて目を開けられないんだ。
FEAR_160 失敗したら全てが終わってしまう。
FEAR_161 もう戻れない。引き返せない。
FEAR_162 全てが崩壊していく。
FEAR_163 誰かが後ろにいる。
FEAR_164 この先に希望なんてあるのか。
FEAR_165 不安で押しつぶされそうだよ。
FEAR_166 もう逃げ場がないんだ。
FEAR_167 一人になるのが怖いよ。
FEAR_168 誰も助けてくれないんだ。
FEAR_169 このまま取り残されてしまうのかな。
FEAR_170 何も見えなくて不安で仕方がない。
FEAR_171 足が震えて止まらないんだ。
FEAR_172 失うものばかりで怖いよ。
FEAR_173 このまま消えてしまいそうだ。
FEAR_174 全てが終わる気がするんだ。
FEAR_175 誰にも分かってもらえない。
FEAR_176 この恐怖から逃れられないよ。
FEAR_177 もう限界を超えてる。
FEAR_178 不安で胸が締め付けられるんだ。
FEAR_179 何かが近づいてくる気がする。
FEAR_180 一歩も動けない。体が固まってるんだ。
FEAR_181 失敗が怖くて何もできない。
FEAR_182 このまま置いていかれるのかな。
FEAR_183 不安が消えない。ずっと消えないんだ。
FEAR_184 何かが起こりそうで怖い。
FEAR_185 もう安全な場所なんてないんだ。
FEAR_186 全てを失ってしまいそうだよ。
FEAR_187 誰かに狙われている気がする。
FEAR_188 この不安はいつまで続くんだ。
FEAR_189 もう耐えられない。本当に限界だよ。
FEAR_190 暗闇が迫ってくるんだ。
FEAR_191 お嬢さま、私を一人にしないでください。
FEAR_192 一人で立ち向かえる気がしない。
FEAR_193 誰も味方がいないよ。
FEAR_194 このまま終わってしまうのかな。
FEAR_195 怖くて目を開けられない。
FEAR_196 失敗したら全てが終わる。
FEAR_197 もう戻れない。引き返せないんだ。
FEAR_198 全てが崩壊していく気がする。
FEAR_199 誰かが後ろにいる気がするんだ。
FEAR_200 この先に希望なんてあるのか。
