ANGRY_001 ふざけるのも大概にしろよ。何回同じこと言わせるんだ。
ANGRY_002 その軽いノリで済むと思うなよ。本気で怒ってるからな。
ANGRY_003 どうして勝手に決めたんだよ。俺の意見は最初から無視か？
ANGRY_004 約束守れないなら、最初から「できない」って言えって言ったよな。
ANGRY_005 なんで謝ってるくせに笑ってるんだ。その顔が一番腹立つんだよ。
ANGRY_006 いいよ、もう分かった。期待した俺がばかだったわ。
ANGRY_007 何度同じミスを繰り返すつもり？さすがに呆れるぞ。
ANGRY_008 その一言のせいでどれだけ傷ついたか、分かってないだろ。
ANGRY_009 仕事なめてるの？遊びじゃないんだぞ、ここ。
ANGRY_010 そんな適当な報告で通ると思った？俺を誰だと思ってる。
ANGRY_011 人の時間をなんだと思ってるんだ。遅れるなら連絡くらいしろ。
ANGRY_012 自分だけ正しいみたいな顔、ほんとイラつくんだけど。
ANGRY_013 言い訳する前に、まずは「ごめん」の一言だろ。
ANGRY_014 俺のせいにして逃げようとするなよ。見えてるからな、その魂胆。
ANGRY_015 こっちがどれだけ我慢してたか、少しは想像してみろよ。
ANGRY_016 その上から目線、いつまで続けるつもりだ。
ANGRY_017 本当に反省してるなら、態度で示せよ。口だけはもう聞き飽きた。
ANGRY_018 そんな半端な仕事を「頑張りました」で出されても困るんだよ。
ANGRY_019 人をバカにしたようなため息、さっきからずっと気になってんだよ。
ANGRY_020 俺の話、ちゃんと聞いてた？さっきから返事が適当すぎる。
ANGRY_021 どうしてあいつの前でだけ、そんなに優しくできるんだよ。
ANGRY_022 嫉妬してる自分にも腹が立つけど、それ以上にお前にイラついてる。
ANGRY_023 平気な顔して裏で笑ってたって聞いて、さすがに限界きたわ。
ANGRY_024 俺の気持ち知ってて、わざとやってるんだろ？悪趣味だな。
ANGRY_025 大事なところで黙られるのが、一番イライラするんだよ。
ANGRY_026 なんで相談してくれなかったのか、それが悔しくて腹が立つ。
ANGRY_027 俺だけ置き去りにして、よく平気で笑っていられるな。
ANGRY_028 本音を言っただけで「重い」って切り捨てられる筋合いないんだけど。
ANGRY_029 笑ってごまかそうとするな。怒ってるの、気づいてるくせに。
ANGRY_030 「ごめんでしょ？」って何その言い方。謝る気あるのか。
ANGRY_031 期限守れないのは仕方ないとして、連絡しないのは論外だろ。
ANGRY_032 「まあいいか」で済ませてきた結果がこれだよ。笑えないな。
ANGRY_033 人の案を散々バカにしておいて、自分は何も出さないのかよ。
ANGRY_034 失敗を隠したまま放置してたって？冗談だろ、それ。
ANGRY_035 俺に押し付けて逃げるつもりなら、最初から関わらないでほしい。
ANGRY_036 その雑な扱い、ずっと我慢してたけど、もう限界だからな。
ANGRY_037 会議でのあの一言、まだ根に持ってるからな。忘れたとは言わせない。
ANGRY_038 影でこそこそ言うくらいなら、正面から言ってこいよ。
ANGRY_039 責任者のくせに、責任から真っ先に逃げるなよ。
ANGRY_040 俺の仕事を「ついで」みたいに扱うの、本気で腹が立つ。
ANGRY_041 なんで俺が全部片付けてるのに、お前はスマホいじってんだよ。
ANGRY_042 手伝うふりだけして、実質何もしてないのバレてるからな。
ANGRY_043 「感謝してよね」って、どの口が言ってんだよ。
ANGRY_044 失敗を笑い話にする前に、まず反省しろって言ってんの。
ANGRY_045 都合が悪くなったら黙るクセ、まじで直したほうがいいよ。
ANGRY_046 俺のせいみたいに話を捻じ曲げるの、やめてくれる？
ANGRY_047 そのため息一つで、どれだけ場の空気が悪くなってるか気づいてる？
ANGRY_048 不機嫌なのは勝手だけど、八つ当たりは別だろうが。
ANGRY_049 そんな冷たい目で見るくらいなら、いっそ無視してくれたほうがマシだ。
ANGRY_050 「悪気はなかった」って便利な言葉だよな。免罪符じゃないからな。
ANGRY_051 どうせ俺なら許してくれると思ってるだろ。その甘えが一番ムカつく。
ANGRY_052 自分の機嫌くらい自分で取ってくれ。人にぶつけるな。
ANGRY_053 話を最後まで聞かないで否定するの、本当にやめてほしい。
ANGRY_054 こっちの労力を当たり前だと思うな。限界はちゃんとあるんだよ。
ANGRY_055 「そんなつもりじゃなかった」で片付けられるほど、軽い傷じゃないんだよ。
ANGRY_056 一度も謝らずに、なかったことにしようとしてるのが一番腹立つ。
ANGRY_057 人を見下すようなその笑い方、本当に癖になってるから気をつけろ。
ANGRY_058 正直に言うと、もう顔を見るだけでイラっとしてしまう。
ANGRY_059 上から目線のアドバイスなんて、誰も求めてないんだよ。
ANGRY_060 こっちが丁寧に対応してるのを、弱いと勘違いしないでくれ。
ANGRY_061 自分のミスなのに「みんなの責任」とか言い出した瞬間、冷めたわ。
ANGRY_062 それを冗談だと言い張るセンス、本気で疑ったほうがいいぞ。
ANGRY_063 笑って流せるライン、とっくに越えてるって気づけ。
ANGRY_064 「俺のほうが大変だし」とか競う話じゃないんだよ、今は。
ANGRY_065 何度説明しても聞こうとしないなら、もう教えないからな。
ANGRY_066 俺の努力を「運がよかっただけ」と片付けられる筋合いない。
ANGRY_067 「誰でもいい」とか言うなら、最初から俺に頼まないでくれ。
ANGRY_068 こっちの善意を踏みにじっておいて、よく平然と顔出せるな。
ANGRY_069 その場しのぎの嘘で乗り切れると思った時点で終わってる。
ANGRY_070 「忘れてた」で済ませていい内容じゃないって分かってたよな。
ANGRY_071 俺を試すみたいなこと、二度とするな。信頼をなんだと思ってる。
