ANNOUNCE_001 本日はご来場いただきまして誠にありがとうございます。
ANNOUNCE_002 まもなく3番線に電車が参ります、白線の内側にお下がりください。
ANNOUNCE_003 館内ではお静かにお願いいたします。
ANNOUNCE_004 ただいまより本日の営業を開始いたします。
ANNOUNCE_005 お忘れ物のないようご注意ください。
ANNOUNCE_006 次の停車駅は、中央公園前でございます。
ANNOUNCE_007 エスカレーターをご利用の際は手すりにおつかまりください。
ANNOUNCE_008 本日の特売品は3階の食品売り場にてご用意しております。
ANNOUNCE_009 開演まであと5分でございます、お席にお着きください。
ANNOUNCE_010 お会計はこちらのレジにてお願いいたします。
ANNOUNCE_011 本日は快晴で、最高気温は22度の見込みです。
ANNOUNCE_012 館内放送でお知らせいたします。
ANNOUNCE_013 お車でお越しの方は地下駐車場をご利用ください。
ANNOUNCE_014 迷子のお知らせです、赤い帽子の男の子をお探しの方はインフォメーションまでお越しください。
ANNOUNCE_015 ただいまの時刻は午後2時30分でございます。
ANNOUNCE_016 お客様にお知らせを申し上げます。
ANNOUNCE_017 本日の公演は予定通り午後6時に開演いたします。
ANNOUNCE_018 1階正面入口は午前9時より開場いたします。
ANNOUNCE_019 ご搭乗のお客様は7番ゲートまでお進みください。
ANNOUNCE_020 まもなく閉館のお時間でございます。
ANNOUNCE_021 本日もご利用いただきまして誠にありがとうございました。
ANNOUNCE_022 階段をご利用のお客様は足元にお気をつけください。
ANNOUNCE_023 場内での飲食はご遠慮いただいております。
ANNOUNCE_024 ご予約のお客様は受付カウンターまでお越しください。
ANNOUNCE_025 次の電車は約8分後に到着する予定です。
ANNOUNCE_026 午前中の診療は12時をもって終了いたします。
ANNOUNCE_027 非常口は各階に2か所ございます。
ANNOUNCE_028 お手洗いは正面左手奥にございます。
ANNOUNCE_029 ペットの同伴はご遠慮願います。
ANNOUNCE_030 ただいまお席にご案内いたしますので少々おまちください。
ANNOUNCE_031 館内での撮影はフラッシュをお控えください。
ANNOUNCE_032 本日の営業は午後8時までとなっております。
ANNOUNCE_033 お子様連れのお客様はキッズスペースもご利用いただけます。
ANNOUNCE_034 まもなく出発いたします、ドアが閉まりますのでご注意ください。
ANNOUNCE_035 次の便は午前10時15分発の予定でございます。
ANNOUNCE_036 園内マップは入口にてお配りしております。
ANNOUNCE_037 このエレベーターは定員12名でございます。
ANNOUNCE_038 試合開始は午後1時を予定しております。
ANNOUNCE_039 本日はお足元の悪い中、お越しいただきありがとうございます。
ANNOUNCE_040 ご来店の際にはマスクの着用にご協力をお願いいたします。
ANNOUNCE_041 ただいまより一般入場を開始いたします。
ANNOUNCE_042 ベビーカーをご利用のお客様はエレベーターをお使いください。
