FEAR_001 わっ、今の音は何！
FEAR_002 廊下の奥で揺れた影は、いったい何なの？
FEAR_003 どうしよう、夜の廊下で閉めたはずの部屋から私の名前を呼ぶ声が聞こえました。
FEAR_004 橋が揺れるたび足元の板が外れそうで、もう一歩も前へ進めそうにありません。
FEAR_005 さっきから同じ足音が、後ろをついてくる。
FEAR_006 逃げて、倉庫の奥から黒い煙が広がって天井の重いランプまでもう落ちてきたよ！
FEAR_007 急いで、川の水がどんどん増えてきたぞ！
FEAR_008 誰か後ろにいるの？
FEAR_009 まずい、森の中で頼りのコンパスが回り続けて来た道まで分からなくなりました。
FEAR_010 この古い階段、踏むたびに大きくきしんでいる。
FEAR_011 誰かが入ったとしか思えない、玄関から寝室まで足跡があるのに帰りの跡がない。
FEAR_012 あの赤い旗を見て、遠くの森では数え切れないほどの光がこちらへ動いているよ。
FEAR_013 知らない番号から何度も電話が鳴って怖い。
FEAR_014 まずい、深夜の画面に警告が次々と現れて停止ボタンまで反応しなくなりました。
FEAR_015 胸騒ぎが止まらない。
FEAR_016 森の鳥が一斉に黙ると、胸がざわつくな。
FEAR_017 静かにして、山小屋の屋根を歩く重い足音が窓のすぐ前で急に止まったんだよ。
FEAR_018 ねえ、窓の外から誰か見ていなかった？
FEAR_019 聞いて、川辺で拾った笛が夜中に鳴ると遠い森の奥から同じ音が返ってくるんだ。
FEAR_020 伏せろ、頭上から大きな石が落ちてくるぞ！
FEAR_021 いや、扉が開いた！
FEAR_022 いつもの帰り道なのに、今日は妙に暗く感じる。
FEAR_023 おかしい、さっき隣にいた仲間の声が霧の向こうと背後の両方から聞こえるよ。
FEAR_024 止めてください、古いエレベーターが地下の表示を過ぎてもまだ下がり続けています。
FEAR_025 ポケットの鍵がなくて、家に入れません。
FEAR_026 あの影を見て、目を離すたびフェンスの向こうから少しずつ入口へ近づいてくるよ。
FEAR_027 夜の湖から低い声が響き、馬までおびえている。
FEAR_028 足が震えて動かない。
FEAR_029 炉から青い炎が噴き出して木箱に火花が飛んでいるから、今すぐ工房を離れて。
FEAR_030 まずい、ランプの火がどんどん小さくなる！
FEAR_031 避難路は水に沈み山道にも土砂が流れていますから、今すぐ高台へ急ぎましょう。
FEAR_032 聞こえるでしょう、誰も触れていないピアノが鳴るたび部屋まで暗くなるんです。
FEAR_033 先生、実験の機械から煙が出ています。
FEAR_034 見てください、先生から届いたメールは文章が途中で途切れ、助けを求める言葉だけ残っています。
FEAR_035 待って、置いていくな！
FEAR_036 この細いロープで全員の重さに耐えられるの？
FEAR_037 戻ろう、洞窟の目印が消えたうえ壁には私たちのものではない手形が増えている。
FEAR_038 誰もいないのにピアノの鍵盤が勝手に沈んで、怖くて動けない。
FEAR_039 急いで下りよう、雪山から低い音がして地面の亀裂がこちらまで走ってきたよ。
FEAR_040 あの黒い雲は、まっすぐ村へ向かっている。
FEAR_041 暗闇に何かいる。
FEAR_042 入口の扉が閉まり、取っ手も動かなくなった。
FEAR_043 どうしよう、沖でエンジンが止まって無線から途切れた雑音しか返ってこない。
FEAR_044 見回りの騎士が戻らないのに、城門の外には壊れたランプだけが落ちているんです。
FEAR_045 騎士様、城壁の向こうに怪しい光が見えます。
FEAR_046 誰か来たのかもしれない、朝起きたら濡れた足跡がベッドの横まで続いていた。
FEAR_047 うわっ、ベッドの下から息遣いが聞こえた！
FEAR_048 火がこっちへ来る！
FEAR_049 絶対に乗らない方がいい、表示にない列車が暗い駅へ音も立てずに入ってきたよ。
FEAR_050 この異様な静けさは、かえって不気味だな…
FEAR_051 早く外へ出て、保管庫の温度が上がって赤い警告灯まで一斉に点滅しています。
FEAR_052 今は動かないで、湖に浮かんだ巨大な黒い影が私たちの小舟の真下で止まった…
FEAR_053 さっき閉めた窓が、どうして開いているの？
FEAR_054 どうしよう、帰宅途中から同じ車が3回曲がってもずっと後ろを離れないんです。
FEAR_055 この橋、渡れるの？
FEAR_056 向こうのフェンスが風もないのに揺れている。
FEAR_057 離れて、魔術師の封印に亀裂が入り今も中から冷たい風と低い声が漏れているよ。
FEAR_058 急げ、洞窟の天井全体に亀裂が走ったぞ！
FEAR_059 今すぐそこから下りて、強風で揺れる足場から固定金具が1個ずつ外れ始めました。
FEAR_060 知らない人が、ずっと同じ距離で歩いてくる。
FEAR_061 息をするのも怖い。
FEAR_062 この薬、本当に飲んでも大丈夫ですか？
FEAR_063 電話が切れた直後に知らない声で自分の名前を呼ばれて、怖くてかけ直せません。
FEAR_064 誰かいるはずだ、森の空っぽなテントに温かいスープと濡れた地図が残っている。
FEAR_065 山道の先から、重いものを引きずる音がする。
FEAR_066 何かあったに違いない、隊員からの最後の通信には激しい息遣いしか入っていない。
FEAR_067 あの古くて細い橋を今から渡るんですか？
FEAR_068 窓に影が映った。
FEAR_069 村中の犬が同じ方角へほえているし、山の上では不吉な赤い光が揺れているよ。
FEAR_070 やめろ、その古い封印には絶対触れるな！
FEAR_071 この水は飲まないで、フィルターを通したのに変な味がして仲間まで急に黙ったよ。
FEAR_072 一刻も早く逃げてください、防火扉が次々と閉まり非常口の表示まで消えていきます。
FEAR_073 さっき見た人影が、今度は屋根の上にいる。
FEAR_074 もう動けない、崖沿いの細道で車輪が外れかけて下には深い谷しか見えないよ。
FEAR_075 また足音が近づく…
FEAR_076 防災ベルが鳴ると、胸の鼓動まで速くなる。
FEAR_077 今のを聞きましたか、誰もいない教室の物音が廊下へ出た途端に消えたんです。
FEAR_078 走れ、足元の薄い氷が次々割れ始めたぞ！
FEAR_079 急いで助けよう、橋の一部が流されたのに向こう岸にはまだ子どもが残っている。
FEAR_080 このファイル、開くたび知らない文字が増える。
FEAR_081 逃げろ、壁が崩れる！
FEAR_082 まさか、帰りの船がもう出たのですか？
FEAR_083 誰かが潜んでいる、監視画面には同じ人物が映るのに入った記録がありません。
FEAR_084 どうしよう、山頂の無線塔が雷で壊れて嵐の中で救助隊との連絡まで切れたよ。
FEAR_085 夜中に玄関のチャイムが鳴ると身構えてしまう。
FEAR_086 もう眠れない、布で覆った古い鏡を真夜中になると内側から何かがたたくんだ。
FEAR_087 あの塔から、誰かがこちらへ手を振っている。
FEAR_088 鍵が勝手に回った。
FEAR_089 急げ、洞窟の奥から水が押し寄せて足元の通路がすでに半分まで沈んでいるぞ。
FEAR_090 遠くの雷が、少しずつ近づいてきました。
FEAR_091 気味が悪い、知らない相手が私の現在地と次に向かう場所まで正確に知っている。
FEAR_092 怖いよ、さっきは確かに5人いたのに振り向くたび仲間が1人ずつ消えていく…
FEAR_093 この森、地図にない道ばかりじゃない？
FEAR_094 誰が鳴らしているの、ナースコールを確認したらその病室はずっと空室でした。
FEAR_095 来ないで、近づくな！
FEAR_096 離れろ、その箱の中で何かが動いているぞ！
FEAR_097 逃げた方がいい、町の時計が全部止まった直後に地面の奥から強い振動が来たよ。
FEAR_098 何度数えても、隊員が1人足りません。
FEAR_099 触っていないプリンターから私の予定を書いた紙が次々と出てきて、気味が悪いよ。
