WHISPER_ANGRY_001 許さない……絶対に許さないから。
WHISPER_ANGRY_002 こんなの……ひどすぎるよ。
WHISPER_ANGRY_003 もう我慢できない……限界だ。
WHISPER_ANGRY_004 許せない……どうしても許せない。
WHISPER_ANGRY_005 もう嫌だ……本当に嫌だ。
WHISPER_ANGRY_006 腹が立つ……本当に腹が立つ。
WHISPER_ANGRY_007 もう限界……これ以上は無理。
WHISPER_ANGRY_008 許さない……二度と許さないから。
WHISPER_ANGRY_009 ふざけるな……いい加減にしろ。
WHISPER_ANGRY_010 もう我慢の限界なんだ。
WHISPER_ANGRY_011 こんなこと……許されるわけない。
WHISPER_ANGRY_012 もう知らない……勝手にしろ。
WHISPER_ANGRY_013 裏切られた……裏切られたんだ。
WHISPER_ANGRY_014 もう信用できない……誰も。
WHISPER_ANGRY_015 こんな仕打ちって……ないよ。
WHISPER_ANGRY_016 もう顔も見たくない。
WHISPER_ANGRY_017 何様のつもりなんだ……あいつは。
WHISPER_ANGRY_018 もう終わりだ……全部終わりだ。
WHISPER_ANGRY_019 呆れて……物も言えないよ。
WHISPER_ANGRY_020 もう二度と……関わらない。
WHISPER_SAD_001 ……もう、会えないんだね。
WHISPER_SAD_002 どうして……どうしてこんなことに。
WHISPER_SAD_003 もう、何も信じられない。
WHISPER_SAD_004 辛い……本当に辛いよ。
WHISPER_SAD_005 寂しい……一人は寂しいよ。
WHISPER_SAD_006 後悔してる……ずっと後悔してる。
WHISPER_SAD_007 涙が……止まらないんだ。
WHISPER_SAD_008 もう終わり……全部終わりなんだ。
WHISPER_SAD_009 戻れない……もう戻れないんだ。
WHISPER_SAD_010 失った……大切なものを失った。
WHISPER_SAD_011 虚しい……何もかもが虚しいよ。
WHISPER_SAD_012 もう笑えない……笑う気力もない。
WHISPER_SAD_013 どうして……私だけが。
WHISPER_SAD_014 心が……痛くて仕方がない。
WHISPER_SAD_015 もう何も……残ってないんだ。
WHISPER_SAD_016 取り戻せない……もう取り戻せない。
WHISPER_SAD_017 あの日に……戻りたいよ。
WHISPER_SAD_018 後悔しかない……ただ後悔しかない。
WHISPER_SAD_019 もう諦めた……全部諦めたんだ。
WHISPER_SAD_020 誰も……分かってくれない。
WHISPER_JOY_001 やった……本当にやったんだ。
WHISPER_JOY_002 嬉しい……すごく嬉しいよ。
WHISPER_JOY_003 ありがとう……本当にありがとう。
WHISPER_JOY_004 夢じゃないよね……現実だよね。
WHISPER_JOY_005 幸せ……こんなに幸せでいいのかな。
WHISPER_JOY_006 最高……本当に最高だよ。
WHISPER_JOY_007 信じられない……嬉しすぎて。
WHISPER_JOY_008 ありがとう……心からありがとう。
WHISPER_JOY_009 やっと……やっと叶ったんだ。
WHISPER_JOY_010 嬉しくて……涙が出そうだよ。
WHISPER_JOY_011 最高の……最高の瞬間だ。
WHISPER_JOY_012 幸せすぎて……言葉にならない。
WHISPER_JOY_013 本当に……本当に嬉しいんだ。
WHISPER_JOY_014 夢が……夢が叶ったんだよ。
WHISPER_JOY_015 ありがとう……本当に本当に。
WHISPER_JOY_016 信じられない……こんな日が来るなんて。
WHISPER_JOY_017 嬉しすぎて……震えてるよ。
WHISPER_JOY_018 最高だ……本当に最高だ。
WHISPER_JOY_019 幸せ……今、すごく幸せなんだ。
WHISPER_JOY_020 やった……やったよ、本当に。
WHISPER_FUN_001 楽しみ……すごく楽しみなんだ。
WHISPER_FUN_002 ワクワクする……本当にワクワクするよ。
WHISPER_FUN_003 待ちきれない……早く来ないかな。
WHISPER_FUN_004 面白そう……すごく面白そうだね。
WHISPER_FUN_005 期待してる……すごく期待してるんだ。
WHISPER_FUN_006 これから……これからが楽しみだよ。
WHISPER_FUN_007 ワクワクが……止まらないんだ。
WHISPER_FUN_008 楽しい……本当に楽しいよ。
WHISPER_FUN_009 最高に……最高に面白いね。
WHISPER_FUN_010 もっと……もっと楽しみたい。
WHISPER_FUN_011 ドキドキする……すごくドキドキするよ。
WHISPER_FUN_012 楽しみで……仕方がないんだ。
WHISPER_FUN_013 待ちきれない……本当に待ちきれない。
WHISPER_FUN_014 ワクワクしてる……すごくワクワクしてる。
