SAD_001 もう会えないと思うと胸が締めつけられる。
SAD_002 どうしてこんなことになってしまったんだろう。
SAD_003 何もかもが虚しい。
SAD_004 大切なものを失ってしまった気がするよ。
SAD_005 涙が止まらない。
SAD_006 あの日に戻れたらと何度も思っている。
SAD_007 寂しくてたまらないんだ。
SAD_008 後悔してもどうにもならないのは分かっているけれど。
SAD_009 心にぽっかり穴が空いたみたいだ。
SAD_010 もう何を信じたらいいのか分からない。
SAD_011 拙者の力では守れなかったのでござる。
SAD_012 ため息ばかりが出てしまう。
SAD_013 楽しかった日々が遠い過去のように感じる。
SAD_014 誰にも気持ちを分かってもらえないのがつらいよ。
SAD_015 なんでこんなに苦しいんだろう。
SAD_016 別れはいつも突然やってくるんだな。
SAD_017 元気を出そうとしても体がついてこない。
SAD_018 独りぼっちだ。
SAD_019 あの人がいない世界に慣れることなんてできない。
SAD_020 こんなに悲しいのは生まれて初めてだよ。
SAD_021 居場所がどこにもないような気がする。
SAD_022 笑い方を忘れてしまったみたいだ。
SAD_023 ご主人様のお力になれず、わたくし不甲斐のうございます。
SAD_024 やり直したいけれど、もう遅いんだ。
SAD_025 心が折れそうだよ。
SAD_026 このまま消えてしまいたいくらいつらい。
SAD_027 大事な約束を守れなかった自分が情けない。
SAD_028 あの頃みたいに笑えなくなった。
SAD_029 雨の日はいっそう悲しくなるよ。
SAD_030 もう何も頑張れない気がする。
SAD_031 期待に応えられなくて申し訳ない。
SAD_032 空っぽだ。
SAD_033 こんなに寂しい夜は初めてだ。
SAD_034 友達が去っていく背中を見送るのが切ないよ。
SAD_035 どこかで間違えてしまったんだろうな。
SAD_036 辛くて眠れない夜が続いている。
SAD_037 我が魔術をもってしても救えぬ命があるのだ。
SAD_038 笑顔の裏で泣いているんだ。
SAD_039 もっとああしていればよかったと思ってしまう。
SAD_040 今はただ静かにしていたいだけなんだ。
SAD_041 すべてが灰色に見える。
SAD_042 胸の奥が痛い。
SAD_043 あたし、何のために頑張ってきたんだろう。
SAD_044 思い出すだけで涙が出てくるよ。
SAD_045 先輩がいなくなって、毎日が寂しいです。
SAD_046 こんなに苦しいなら出会わなければよかったのかな。
SAD_047 もう疲れたよ。
SAD_048 何もかも投げ出してしまいたい。
SAD_049 大切な人の笑顔をもう見られないなんて。
SAD_050 言葉にできないくらい悲しいんだ。
SAD_051 あの場所にはもう行けないんだな。
SAD_052 周りが楽しそうにしているのを見ると余計につらくなる。
SAD_053 騎士としての務めを果たせなかった無念さが残る。
SAD_054 日が暮れると一人の寂しさが押し寄せてくる。
SAD_055 この悲しみはいつか薄れるのだろうか。
SAD_056 何もしたくない。
