ANGRY_001 ふざけるのも大概にしろよ。
ANGRY_002 何回同じこと言わせるつもりなんだ。
ANGRY_003 いい加減にしろ、もう限界だ。
ANGRY_004 お前のせいで全部台無しになっただろ。
ANGRY_005 黙れ。
ANGRY_006 こんな結果を誰が納得するっていうんだ。
ANGRY_007 約束を破るなんて絶対に許せない。
ANGRY_008 勝手なことばかりして本当に呆れるよ。
ANGRY_009 なんで分かってくれないんだよ。
ANGRY_010 あなたには本当に失望しました。
ANGRY_011 いつまで待たせれば気が済むんだ。
ANGRY_012 もう二度と顔も見たくないね。
ANGRY_013 この無礼な振る舞い、我が剣に誓って許さぬぞ。
ANGRY_014 言い訳ばかりで情けないとは思わないのか。
ANGRY_015 今すぐ出て行ってくれ。
ANGRY_016 誰のせいでこうなったと思ってるんだ。
ANGRY_017 この裏切り、必ず報いを受けさせてやる。
ANGRY_018 調子に乗りすぎだろ。
ANGRY_019 二度と信用しないからな。
ANGRY_020 こっちの気持ちも少しは考えてくれよ。
ANGRY_021 どうしてこんなことが起きたんだ。
ANGRY_022 もう限界だ、これ以上は我慢できない。
ANGRY_023 やってられるか。
ANGRY_024 その態度が一番気に入らないんだよ。
ANGRY_025 こんな結末を望んでいたわけじゃないんだ。
ANGRY_026 責任を取れ、逃げるんじゃない。
ANGRY_027 何度注意すれば同じミスを繰り返さなくなるんだ。
ANGRY_028 何様のつもりだ。
ANGRY_029 だから信用できないって言ったんだ。
ANGRY_030 不満があるなら直接言えよ。
ANGRY_031 お前の甘さがこの事態を招いたんだぞ。
ANGRY_032 あんた、人の話を聞く気があるのか。
ANGRY_033 ご主人様、このような仕打ちは看過できませんわ。
ANGRY_034 ちゃんとやれって最初から言ってただろ。
ANGRY_035 怒りを通り越して呆れてしまう。
ANGRY_036 こんな扱いを受ける筋合いはない。
ANGRY_037 ひどすぎるよ、ひどすぎる。
ANGRY_038 先輩として言わせてもらうけど、甘く見るなよ。
ANGRY_039 お前が思っているほど簡単な話じゃないんだ。
ANGRY_040 嘘をつくな。
ANGRY_041 あたしの気持ちを踏みにじって楽しいわけ？
ANGRY_042 本気で反省しているのか疑わしいな。
ANGRY_043 貴様、二度とそのような振る舞いはするな。
ANGRY_044 信頼を裏切られるのが一番つらいんだよ。
ANGRY_045 何も分かっていないくせに偉そうなことを言うな。
ANGRY_046 まだ言い訳を続けるつもりなのか。
ANGRY_047 そんな態度で許されると思うなよ。
ANGRY_048 こんなずさんな仕事、話にならないよ。
ANGRY_049 腹が立つ。
ANGRY_050 あなたの身勝手な行動で周りがどれだけ迷惑しているか分かりますか。
ANGRY_051 冗談じゃないぞ、取り返しがつかないんだ。
ANGRY_052 頭にくるなあ。
ANGRY_053 この魔術を侮ったこと、後悔させてやろうか。
ANGRY_054 筋が通らないことには断固として抗議する。
ANGRY_055 口先だけの謝罪なんて聞きたくないんだよ。
ANGRY_056 真剣に向き合えよ。
ANGRY_057 もうこりごりだ、二度とごめんだね。
ANGRY_058 期待していたのに裏切られた気分だよ。
ANGRY_059 許せない、どうしても許せないんだ。
ANGRY_060 そんな言い方はないだろ。
ANGRY_061 あたしだって怒るときは怒るんだからね。
ANGRY_062 なめてるのか。
ANGRY_063 不公平だ、こんなことが許されるはずがない。
ANGRY_064 その発言は撤回してもらいたいものだな。
ANGRY_065 指示を無視して勝手に動くなと言っただろう。
ANGRY_066 馬鹿にするのもいい加減にしてくれ。
ANGRY_067 もうたくさんだ。
ANGRY_068 冒険者として、仲間を危険にさらすなんて論外だ。
ANGRY_069 約束を守れないなら最初から引き受けるな。
ANGRY_070 こんな失態を見せるとは情けない限りだ。
ANGRY_071 後始末をする身にもなってくれよ。
ANGRY_072 一言の相談もなしに決めるなんてありえない。
ANGRY_073 うちの店の信用問題になるんだぞ、分かってるのか。
ANGRY_074 友達だからこそ遠慮なく言うけど、ひどすぎるよ。
ANGRY_075 甘えるな、自分で何とかしろ。
ANGRY_076 次があると思うなよ。
ANGRY_077 報告が遅すぎるんだよ、なぜすぐ言わなかった。
ANGRY_078 そんな幼稚な考えで通用すると思ってるのか。
ANGRY_079 我を怒らせたことを悔やむがいい。
ANGRY_080 心底がっかりしたよ。
ANGRY_081 お嬢様、あのような無礼は到底お許しになれません。
ANGRY_082 どの口がそれを言うんだ。
ANGRY_083 あんたにはもう何も期待しないよ。
ANGRY_084 これが最後通告だ、次は容赦しないからな。
ANGRY_085 手を抜くなって何度も言っただろう。
ANGRY_086 嘘も大概にしてくれ。
ANGRY_087 頭に血が上って冷静でいられないよ。
ANGRY_088 いい加減な対応をされてこちらも我慢の限界だ。
ANGRY_089 怒っているんだ、本気で怒っているんだぞ。
ANGRY_090 こんなひどいことをして平気でいられるのか。
ANGRY_091 仲間を裏切った罰は重いと知れ。
ANGRY_092 苛立つ。
ANGRY_093 人の善意を踏みにじるような真似はするなよ。
ANGRY_094 先生として見過ごすわけにはいかないんだ。
ANGRY_095 さっさと片付けろ、時間がないんだ。
ANGRY_096 話にならないな、出直してこい。
ANGRY_097 黙って聞いていればいい気になって。
ANGRY_098 こんな結果で満足しているのか、冗談だろう。
ANGRY_099 もう顔を合わせたくもないよ。
ANGRY_100 全く反省の色が見えないじゃないか。
ANGRY_101 騎士としての誇りが許さないぞ。
ANGRY_102 ひどいよ。
ANGRY_103 そこまで言うなら証拠を出してみろ。
ANGRY_104 こっちだって好きで怒ってるわけじゃないんだ。
ANGRY_105 何もかもが嫌になってくるよ。
ANGRY_106 こんな雑な扱いを受ける覚えはない。
ANGRY_107 お前の不注意で被害が広がったんだぞ。
ANGRY_108 弁解の余地はないだろう。
ANGRY_109 あなたのせいで台無しですわ。
ANGRY_110 恥を知れ。
ANGRY_111 二度とこんな目にあわされてたまるか。
ANGRY_112 人の痛みが分からないのか。
ANGRY_113 品質を落とすような真似は職人として許せないんだ。
ANGRY_114 言うことがころころ変わるから困るんだよ。
ANGRY_115 適当なことを言うな、こっちは真剣なんだ。
ANGRY_116 迷惑なんだよ。
ANGRY_117 騙されたと知って怒りが込み上げてくる。
ANGRY_118 自分の非を認めろ。
ANGRY_119 もう終わりだ、付き合いきれない。
ANGRY_120 お前にはプライドというものがないのか。
ANGRY_121 あの失敗を繰り返すな、頼むから。
ANGRY_122 この怒りは簡単には収まらないよ。
ANGRY_123 魔術師をなめるな、痛い目を見るぞ。
ANGRY_124 自分のしたことの重大さを理解しているのか。
ANGRY_125 最低だ。
ANGRY_126 ちゃんと説明してもらわないと納得できないよ。
ANGRY_127 先輩に向かってその口の利き方は何だ。
ANGRY_128 怒りを抑えようとしても抑えきれないんだ。
ANGRY_129 このままうやむやにされてたまるか。
ANGRY_130 そんな無責任な話が通じると思うなよ。
ANGRY_131 あたしのこと何だと思ってるの。
ANGRY_132 腹が立って仕方がないんだ。
ANGRY_133 裏で何をしていたか全部分かっているんだぞ。
ANGRY_134 こんなことが二度と起きないようにしてもらいたい。
ANGRY_135 何を笑っている、ふざけるな。
ANGRY_136 よりによってこんな大事な時に失敗するとは。
ANGRY_137 いい度胸をしているな。
ANGRY_138 他人の迷惑を顧みない態度が気に食わないんだ。
ANGRY_139 手抜き仕事なんて論外だ。
ANGRY_140 許してほしいなら誠意を見せろ。
ANGRY_141 約束を軽く見る人間は信用できないよ。
ANGRY_142 我が同盟を裏切った代償は高くつくぞ。
ANGRY_143 そんな簡単に忘れられる問題じゃないんだよ。
ANGRY_144 理不尽だろう、どう考えても。
ANGRY_145 ぶん殴ってやりたいくらいだけど我慢するよ。
ANGRY_146 ちゃんと責任を果たせよ。
ANGRY_147 あなたの言い分は理屈が通っていませんよ。
ANGRY_148 怒り心頭だ。
ANGRY_149 大事なものを壊しておいて謝りもしないのか。
ANGRY_150 この商売をなんだと思っているんだ。
ANGRY_151 ただじゃおかないぞ。
ANGRY_152 お前が嘘をついていたことは分かっていたんだ。
ANGRY_153 こんな目にあわせてただで済むと思うなよ。
ANGRY_154 自分だけよければいいって考え方が嫌なんだ。
ANGRY_155 友達として忠告するけど、いい加減にしなよ。
ANGRY_156 呆れた。
ANGRY_157 先生の期待を裏切るようなことはしてほしくなかった。
ANGRY_158 もう我慢しないからな。
ANGRY_159 ご主人様のお名前を汚すような所業、断じて許しませんわ。
ANGRY_160 そんな軽い気持ちで冒険に出るんじゃない。
ANGRY_161 怒ってるのに笑うな。
