id,character_style,intensity,punctuation,near_pair_group,scene
NORMAL_001,none,mid,。,P01,職場で家族へ帰宅を連絡
NORMAL_002,none,weak,。,P01,家で母に帰宅予定を話す
NORMAL_003,none,strong,。,P02,会議室で参加者に資料を渡す
NORMAL_004,none,mid,。,P02,職場で同僚に資料の場所を伝える
NORMAL_005,none,weak,。,,台所で家族に声をかける
NORMAL_006,none,mid,。,P03,遊歩道で家族に休憩を提案
NORMAL_007,none,weak,。,P03,公園で友人と休憩を相談
NORMAL_008,none,strong,。,P04,自宅で夫に洗濯を頼む
NORMAL_009,none,mid,。,P04,家で父に洗濯物を頼む
NORMAL_010,none,mid,。,P05,店で店員に包装を伝える
NORMAL_011,none,weak,。,P05,店で店員に包み方を伝える
NORMAL_012,none,strong,。,P06,駅で後輩に待機場所を知らせる
NORMAL_013,none,mid,。,,玄関で家族に行き先を告げる
NORMAL_014,none,mid,。,P07,台所で同居人に後片付けを話す
NORMAL_015,none,mid,。,P06,駅で友人に集合位置を知らせる
NORMAL_016,none,strong,？,P08,学校で先輩に返却を伝える
NORMAL_017,none,weak,。,P07,台所で家族に保存を話す
NORMAL_018,none,mid,。,P09,喫茶店で友人に休日の予定を話す
NORMAL_019,none,mid,。,P08,職場で同僚に返却予定を話す
NORMAL_020,none,weak,。,,職場で同僚に書類を渡す
NORMAL_021,none,strong,。,P10,店で係員にサイズを頼む
NORMAL_022,none,weak,。,P09,家で姉に休日の予定を話す
NORMAL_023,none,mid,。,P11,職場で家族に水やりを報告
NORMAL_024,none,mid,。,P10,店で店員にサイズを相談
NORMAL_025,none,strong,。,P12,作業室で仲間に分担を頼む
NORMAL_026,none,weak,。,P11,庭で家族に水やりを伝える
NORMAL_027,none,mid,。,P13,自宅で知人に訪問時間を伝える
NORMAL_028,none,mid,。,,公園で友人に提案する
NORMAL_029,none,strong,。,P14,食堂で店員に注文を伝える
NORMAL_030,none,mid,。,P12,職場で同僚に作業の分担を伝える
NORMAL_031,none,mid,。,P15,教室で後輩にはさみの場所を教える
NORMAL_032,none,weak,。,P13,自宅で友人に訪問予定を話す
NORMAL_033,none,strong,。,P16,職場で仲間に会議室変更を伝える
NORMAL_034,none,mid,。,P14,食堂で店員に注文する
NORMAL_035,none,weak,。,,台所で家族に朝の予定を話す
NORMAL_036,none,strong,！,,廊下で友人を呼び止める
NORMAL_037,none,weak,。,P15,家で弟に道具の場所を伝える
NORMAL_038,none,mid,。,,職場で同僚に連絡事項を伝える
NORMAL_039,none,mid,。,P16,職場で同僚に予定変更を知らせる
NORMAL_040,none,strong,。,,教室で仲間に作業を頼む
NORMAL_041,none,weak,。,,公園で友人に散歩道を話す
NORMAL_042,none,weak,。,,台所で家族に食材を尋ねる
NORMAL_043,none,mid,。,,店で店員に用途を伝える
NORMAL_044,none,mid,。,,自宅で友人に持ち物を伝える
NORMAL_045,none,weak,…,,自宅で独り言を漏らす
NORMAL_046,none,strong,。,,自宅で家族に荷物を頼む
NORMAL_047,none,strong,。,,教室で仲間へ集合を伝える
NORMAL_048,none,weak,。,,職場で同僚に昼休みを話す
NORMAL_049,none,weak,。,,駅で友人に移動を話す
NORMAL_050,none,mid,。,,駅で友人に移動を伝える
NORMAL_051,none,mid,？,,店で店員に取り置きを尋ねる
NORMAL_052,none,strong,。,,作業場で仲間に片付けを頼む
NORMAL_053,none,mid,？,,食卓で家族に尋ねる
NORMAL_054,none,weak,。,,家で友人に本の読み方を話す
NORMAL_055,none,strong,。,,職場で同僚に締切を伝える
NORMAL_056,none,mid,。,,食堂で店員に注文を確認
NORMAL_057,none,weak,。,,家で家族に買い物を話す
NORMAL_058,none,strong,。,,職場で同僚に確認を依頼
NORMAL_059,none,mid,。,,公園で友人に道を提案
NORMAL_060,none,weak,。,,職場で同僚に場所を伝える
NORMAL_061,none,weak,。,,庭で隣人に植木の予定を話す
NORMAL_062,none,weak,…,,自室で独り言を漏らす
NORMAL_063,none,mid,？,,自宅で妹に食材を尋ねる
NORMAL_064,none,strong,。,,工房で仲間に置き場所を知らせる
NORMAL_065,none,strong,。,,教室で友人に資料を頼む
NORMAL_066,none,mid,？,,店で店員に色を尋ねる
NORMAL_067,none,weak,。,,店で友人に服選びを話す
NORMAL_068,none,strong,！,,庭で家族へ呼びかける
NORMAL_069,none,mid,。,,職場で同僚に休暇の連絡をする
NORMAL_070,none,weak,。,,庭で隣人に天気を話す
NORMAL_071,none,strong,。,,家で家族に作業を頼む
NORMAL_072,none,strong,！,,教室で友人に声をかける
NORMAL_073,none,weak,。,,公園で友人に日常を話す
NORMAL_074,none,mid,？,,家で妹に片付けを頼む
NORMAL_075,none,mid,。,,店で店員に持ち帰りを頼む
NORMAL_076,none,mid,。,,店で店員に希望を伝える
NORMAL_077,none,weak,。,,職場で同僚に休憩を伝える
NORMAL_078,none,strong,。,,職場で同僚に変更点を示す
NORMAL_079,none,strong,。,,店で店員に希望を伝える
NORMAL_080,none,weak,…,,家で独り言を漏らす
NORMAL_081,none,mid,。,,駅前で友人に集合を提案
NORMAL_082,none,mid,。,,台所で家族に料理を話す
NORMAL_083,none,strong,。,,作業場で仲間に材料を頼む
NORMAL_084,none,weak,。,,駅前で友人に到着を知らせる
NORMAL_085,none,weak,。,,家で妹に予定を話す
NORMAL_086,none,weak,。,,台所で家族に昼食を話す
NORMAL_087,none,strong,。,,職場で同僚に資料を渡す
NORMAL_088,none,mid,？,,職場で同僚に共有を相談
NORMAL_089,none,mid,。,,公園で家族に休憩を提案
NORMAL_090,none,strong,。,,家で弟に道具の返却を頼む
NORMAL_091,none,weak,。,,家で兄に洗濯物を伝える
NORMAL_092,none,weak,。,,喫茶店で友人に生活を話す
NORMAL_093,none,mid,。,,駅で友人に位置を知らせる
NORMAL_094,none,mid,？,,店で店員に品物の用途を話す
NORMAL_095,none,strong,。,,廊下で仲間に予定を伝える
NORMAL_096,none,strong,。,,職場で同僚に記録を頼む
NORMAL_097,none,mid,？,,店で店員に在庫を尋ねる
NORMAL_098,none,weak,。,,公園で家族に帰路を話す
NORMAL_099,none,weak,…,,自宅で独り言を漏らす
NORMAL_100,none,strong,！,,廊下で同僚に声をかける
NORMAL_101,none,mid,？,,自宅で友人に食事を尋ねる
NORMAL_102,none,strong,。,,職場で同僚に担当を伝える
NORMAL_103,none,strong,。,,教室で仲間に整理を頼む
NORMAL_104,none,mid,？,,家で母に荷物を確認
NORMAL_105,none,weak,。,,職場で同僚に通勤を話す
NORMAL_106,none,weak,。,,喫茶店で友人に習慣を話す
NORMAL_107,none,mid,。,,店で店員に注文を伝える
NORMAL_108,none,weak,…,,台所で家族に独り言を漏らす
NORMAL_109,none,strong,。,,家で家族に留守中を頼む
NORMAL_110,none,strong,。,,作業場で仲間に道具を示す
NORMAL_111,none,weak,。,,台所で家族に準備を話す
NORMAL_112,none,mid,？,,台所で家族に食事を相談
NORMAL_113,none,mid,。,,職場で同僚に担当を尋ねる
NORMAL_114,none,weak,。,,駅で友人に移動を知らせる
NORMAL_115,none,strong,。,,公園で友人に荷物を頼む
NORMAL_116,none,mid,？,,家で兄に物を借りる
NORMAL_117,none,strong,。,,職場で同僚に返却を頼む
NORMAL_118,none,weak,…,,家で独り言を漏らす
NORMAL_119,none,mid,。,,自宅で友人に座席を勧める
NORMAL_120,none,mid,。,,店で店員に色を相談
NORMAL_121,none,strong,。,,職場で同僚に確認を頼む
NORMAL_122,none,weak,…,,庭で家族に作業予定を話す
NORMAL_123,none,weak,。,,庭で隣人に植物を話す
NORMAL_124,none,strong,。,,店で店員に品物を決める
NORMAL_125,none,weak,。,,公園で友人に天気を話す
NORMAL_126,none,mid,。,,家で姉に予定を尋ねる
NORMAL_127,none,mid,？,,教室で友人に予定を聞く
NORMAL_128,none,strong,。,,教室で仲間へ連絡
