WHISPER_ANGRY_001 許さない……絶対に許さないからね。
WHISPER_ANGRY_002 こんなの……ひどすぎるよ。
WHISPER_ANGRY_003 もう我慢できない……限界なんだ。
WHISPER_ANGRY_004 勝手なことばかりして……呆れるわ。
WHISPER_ANGRY_005 裏切ったな……覚えておけよ。
WHISPER_ANGRY_006 ふざけるな……小声でも怒りは伝わるぞ。
WHISPER_ANGRY_007 腹の底から怒りが湧いてくるんだ。
WHISPER_ANGRY_008 もう知らない……勝手にすればいい。
WHISPER_ANGRY_009 あんたのせいだよ……全部あんたのせい。
WHISPER_ANGRY_010 許せない……どうしても許せないの。
WHISPER_ANGRY_011 嘘つき……嘘つきだよ。
WHISPER_ANGRY_012 二度と顔を見せるな。
WHISPER_ANGRY_013 こっちの気持ちも考えてよ。
WHISPER_ANGRY_014 静かに怒っているほうが怖いって知ってる？
WHISPER_ANGRY_015 いい加減にしてほしい。
WHISPER_ANGRY_016 信じていたのに……裏切られたんだ。
WHISPER_ANGRY_017 もう我慢しないからね。
WHISPER_ANGRY_018 あの人だけは……許さない。
WHISPER_ANGRY_019 怒りで手が震えてるんだ。
WHISPER_ANGRY_020 こんな仕打ち……忘れないよ。
WHISPER_SAD_001 もう……会えないんだね。
WHISPER_SAD_002 どうして……どうしてこんなことに。
WHISPER_SAD_003 寂しいよ……ねえ。
WHISPER_SAD_004 涙が……止まらないんだ。
WHISPER_SAD_005 あの日に……戻りたいな。
WHISPER_SAD_006 もう何も……信じられない。
WHISPER_SAD_007 ごめんね……守れなくて。
WHISPER_SAD_008 一人は……寂しいよ。
WHISPER_SAD_009 心がぽっかり……空いちゃったみたい。
WHISPER_SAD_010 後悔してるの……ずっと。
WHISPER_SAD_011 もう終わりなのかな。
WHISPER_SAD_012 大切なもの……失くしちゃった。
WHISPER_SAD_013 涙がこぼれそうだよ。
WHISPER_SAD_014 会いたいなあ。
WHISPER_SAD_015 なんでこんなに苦しいんだろう。
WHISPER_SAD_016 胸が痛い……ずきずきする。
WHISPER_SAD_017 忘れられない……忘れたくない。
WHISPER_SAD_018 悲しくて……言葉にならないの。
WHISPER_SAD_019 あの笑顔を……もう見られないのね。
WHISPER_SAD_020 泣いてもいい？
WHISPER_JOY_001 ねえ……すごく嬉しいの。
WHISPER_JOY_002 夢みたいだね……信じられない。
WHISPER_JOY_003 ふふ……やったね。
WHISPER_JOY_004 嬉しくて……胸がいっぱいだよ。
WHISPER_JOY_005 ありがとう……本当にありがとう。
WHISPER_JOY_006 幸せだなあ。
WHISPER_JOY_007 こっそり教えてあげる……合格したんだ。
WHISPER_JOY_008 内緒だけど……すごく嬉しいの。
WHISPER_JOY_009 こんな気持ち……初めてだよ。
WHISPER_JOY_010 にこにこが止まらないの。
WHISPER_JOY_011 小さな幸せって……温かいね。
WHISPER_JOY_012 ねえ、聞いて……いい知らせがあるんだ。
WHISPER_JOY_013 じんわり嬉しい。
WHISPER_JOY_014 ひそひそ……嬉しいこと教えちゃう。
WHISPER_JOY_015 穏やかな幸せに包まれているよ。
WHISPER_JOY_016 ふふふ……照れちゃうな。
WHISPER_JOY_017 大好きだよ……ずっと。
WHISPER_JOY_018 よかった……本当によかった。
WHISPER_JOY_019 この温もりを忘れたくないな。
WHISPER_JOY_020 幸せって……こういうことなんだね。
WHISPER_FUN_001 ふふ……面白いこと思いついちゃった。
WHISPER_FUN_002 ねえねえ……こっそり遊ぼうよ。
WHISPER_FUN_003 くすくす……おかしいなあ。
WHISPER_FUN_004 ひそひそ……いたずら計画を練ろう。
WHISPER_FUN_005 あはは……笑いをこらえきれないよ。
WHISPER_FUN_006 内緒の楽しみってワクワクするね。
WHISPER_FUN_007 静かに……驚かせてやろうよ。
WHISPER_FUN_008 ぷぷっ……見て見て。
WHISPER_FUN_009 二人だけの秘密にしようね。
WHISPER_FUN_010 小声で言うけど……すっごく楽しいんだ。
WHISPER_FUN_011 こっそり抜け出してお菓子食べよう。
WHISPER_FUN_012 くくく……完璧な計画だ。
WHISPER_FUN_013 内緒話って……ドキドキするね。
WHISPER_FUN_014 ぷぷぷ……バレないようにしなきゃ。
WHISPER_FUN_015 ふふ……楽しくなってきた。
WHISPER_FUN_016 しーっ……秘密だよ。
WHISPER_FUN_017 ヒントを一つだけ教えてあげる。
WHISPER_FUN_018 こっそりサプライズを用意したんだ。
WHISPER_FUN_019 耳打ちするね。
WHISPER_FUN_020 ね、面白いでしょ。
WHISPER_SURPRISE_001 うそ……本当に？
WHISPER_SURPRISE_002 えっ……信じられない。
WHISPER_SURPRISE_003 まさか……こんなことって。
WHISPER_SURPRISE_004 ちょっと……何が起きたの。
WHISPER_SURPRISE_005 はっ……気づかなかった。
WHISPER_SURPRISE_006 び、びっくりした。
WHISPER_SURPRISE_007 誰にも言わないでね……実はね。
WHISPER_SURPRISE_008 予想外すぎて固まっちゃったよ。
WHISPER_SURPRISE_009 ここだけの話なんだけど……驚くよ。
WHISPER_SURPRISE_010 あ……ああ。
WHISPER_SURPRISE_011 目の前の光景が信じられないの。
WHISPER_SURPRISE_012 こんなことがあるんだね。
WHISPER_SURPRISE_013 声に出せないくらい驚いている。
WHISPER_SURPRISE_014 夢かと思った。
WHISPER_SURPRISE_015 えええ……ほんとに？
WHISPER_SURPRISE_016 想像もしていなかった。
WHISPER_SURPRISE_017 心臓がどきどきしている。
WHISPER_SURPRISE_018 ひそかに驚いているんだ。
WHISPER_SURPRISE_019 すごい……こんなの初めて見た。
WHISPER_SURPRISE_020 息を呑んだよ。
WHISPER_CONTEMPT_001 ふん……くだらないわね。
WHISPER_CONTEMPT_002 大したことないのに。
WHISPER_CONTEMPT_003 呆れた……見ていられないよ。
WHISPER_CONTEMPT_004 所詮その程度か。
WHISPER_CONTEMPT_005 期待するだけ無駄だったわ。
WHISPER_CONTEMPT_006 小声で言うけど……笑っちゃうくらいひどい。
WHISPER_CONTEMPT_007 中身が伴っていないのは丸分かりだよ。
WHISPER_CONTEMPT_008 見苦しいったらありゃしない。
WHISPER_CONTEMPT_009 可哀想に……自覚がないのね。
WHISPER_CONTEMPT_010 はいはい……ご勝手にどうぞ。
WHISPER_CONTEMPT_011 鼻で笑うしかないわね。
WHISPER_CONTEMPT_012 身の程知らずだね。
WHISPER_CONTEMPT_013 情けない。
WHISPER_CONTEMPT_014 そんなものが精一杯なの？
WHISPER_CONTEMPT_015 ぼそっと言うけど……下手すぎない？
WHISPER_CONTEMPT_016 取るに足らないな。
WHISPER_CONTEMPT_017 興味もないし関わりたくもない。
WHISPER_CONTEMPT_018 底が浅いのよね……あの人。
WHISPER_CONTEMPT_019 二流の仕事だ。
WHISPER_CONTEMPT_020 ふふ……滑稽ね。
WHISPER_FEAR_001 怖い……何かいる気がする。
WHISPER_FEAR_002 声が出ない……震えているんだ。
WHISPER_FEAR_003 そっと……逃げよう。
WHISPER_FEAR_004 誰か……そばにいて。
WHISPER_FEAR_005 暗い……怖いよ。
WHISPER_FEAR_006 何かが近づいてくる……気配がするんだ。
WHISPER_FEAR_007 息を殺して……じっとしていよう。
WHISPER_FEAR_008 足がすくんで……動けない。
WHISPER_FEAR_009 あの影……見えた？
WHISPER_FEAR_010 心臓がばくばくしてる。
WHISPER_FEAR_011 振り向きたくない。
WHISPER_FEAR_012 ぞくっとした。
WHISPER_FEAR_013 助けて……お願い。
WHISPER_FEAR_014 この静けさが……逆に怖いよ。
WHISPER_FEAR_015 もう帰りたい。
WHISPER_FEAR_016 体がこわばっているんだ。
WHISPER_FEAR_017 あの音……聞こえた？
WHISPER_FEAR_018 目をつぶっていたい。
WHISPER_FEAR_019 ひっ……何か触れた。
WHISPER_FEAR_020 怖くて涙が出そう。
WHISPER_CONFUSE_001 えっと……何だっけ。
WHISPER_CONFUSE_002 どうすればいいの……分からないよ。
WHISPER_CONFUSE_003 頭の中がぐちゃぐちゃだ。
WHISPER_CONFUSE_004 あれ……おかしいな。
WHISPER_CONFUSE_005 ちょっと……整理させて。
WHISPER_CONFUSE_006 混乱してきた。
WHISPER_CONFUSE_007 意味が分からない。
WHISPER_CONFUSE_008 ぼそっと呟くけど……本当にこれでいいのかな。
WHISPER_CONFUSE_009 えーと……つまり？
WHISPER_CONFUSE_010 道に迷っちゃったみたい。
WHISPER_CONFUSE_011 何がなんだか。
WHISPER_CONFUSE_012 考えがまとまらないの。
WHISPER_CONFUSE_013 ううん……違うような気がするんだけど。
WHISPER_CONFUSE_014 どっちを選べばいいんだろう。
WHISPER_CONFUSE_015 もやもやする。
WHISPER_CONFUSE_016 さっきと話が違わない？
WHISPER_CONFUSE_017 分からない……全然分からない。
WHISPER_CONFUSE_018 あれ……ここはどこだっけ。
WHISPER_CONFUSE_019 ふむ……腑に落ちないな。
WHISPER_CONFUSE_020 ぽかんとしちゃった。
