id,character_style,intensity,length_chars,punctuation,phoneme_tags,near_pair_group,reading_ease_score
02_ANGRY_001,boy,strong,26,！,SOKUON;HATSUON;DAKUON,P01,4
02_ANGRY_002,cool,strong,31,！,HATSUON;DAKUON,P01,4
02_ANGRY_003,girl,strong,31,！,SOKUON;HATSUON;DAKUON,P02,4
02_ANGRY_004,mage,strong,29,！,DAKUON,P02,4
02_ANGRY_005,friend,mid,23,！,YOUON;HATSUON;DAKUON,P03,4
02_ANGRY_006,boy,mid,25,！,YOUON;HATSUON;DAKUON,P03,4
02_ANGRY_007,knight,strong,27,！,YOUON;HATSUON;DAKUON,P04,4
02_ANGRY_008,maid,strong,26,！,YOUON;SOKUON;HATSUON;DAKUON,P04,4
02_ANGRY_009,none,strong,24,！,SOKUON;HATSUON;DAKUON,P05,4
02_ANGRY_010,friend,strong,28,！,SOKUON;HATSUON;DAKUON,P05,4
02_ANGRY_011,swordsman,strong,25,！,YOUON;DAKUON,P06,4
02_ANGRY_012,mage,strong,30,！,YOUON;DAKUON,P06,4
02_ANGRY_013,merchant,strong,29,！,YOUON;HATSUON;DAKUON,P07,4
02_ANGRY_014,artisan,strong,32,！,HATSUON;DAKUON,P07,4
02_ANGRY_015,girl,mid,23,！,SOKUON;HATSUON;DAKUON;HANDAKUON,P08,4
02_ANGRY_016,boy,mid,27,！,YOUON;SOKUON;CHOON;DAKUON,P08,4
02_ANGRY_017,none,strong,31,！,YOUON;HATSUON;DAKUON;HANDAKUON,P09,4
02_ANGRY_018,friend,strong,27,？,YOUON;SOKUON;HATSUON;DAKUON,P09,4
02_ANGRY_019,cool,mid,30,！,SOKUON;HATSUON;DAKUON,P10,4
02_ANGRY_020,mage,strong,31,！,DAKUON,P10,4
02_ANGRY_021,adventurer,strong,29,！,YOUON;HATSUON;DAKUON,P11,4
02_ANGRY_022,swordsman,strong,31,！,YOUON;SOKUON;DAKUON,P11,4
02_ANGRY_023,friend,mid,32,。,YOUON;SOKUON;HATSUON;DAKUON,P12,4
02_ANGRY_024,none,mid,31,！,YOUON;SOKUON;HATSUON,P12,4
02_ANGRY_025,senpai,strong,26,！,YOUON;HATSUON;DAKUON,P13,4
02_ANGRY_026,teacher,strong,24,！,HATSUON;DAKUON,P13,4
02_ANGRY_027,merchant,mid,32,！,YOUON;DAKUON,P14,4
02_ANGRY_028,butler,mid,28,！,HATSUON;DAKUON,P14,4
02_ANGRY_029,boy,strong,28,！,SOKUON;DAKUON,,4
02_ANGRY_030,cool,mid,29,。,SOKUON;DAKUON,,4
02_ANGRY_031,girl,mid,28,！,YOUON;DAKUON,,4
02_ANGRY_032,friend,mid,26,！,SOKUON;DAKUON,,4
02_ANGRY_033,none,strong,29,！,HATSUON;DAKUON,,4
