id,character_style,intensity,length_chars,punctuation,phoneme_tags,near_pair_group,reading_ease_score
09_NORMAL_001,girl,mid,40,。,YOUON;HATSUON;DAKUON,,4
09_NORMAL_002,boy,mid,35,。,HATSUON;DAKUON,,4
09_NORMAL_003,friend,weak,45,。,YOUON;HATSUON;DAKUON,,4
09_NORMAL_004,teacher,mid,43,。,YOUON;HATSUON;DAKUON,,4
09_NORMAL_005,swordsman,strong,38,。,SOKUON;HATSUON;DAKUON,,4
09_NORMAL_006,cool,weak,36,。,YOUON;SOKUON;HATSUON;DAKUON,,4
09_NORMAL_007,adventurer,strong,33,。,YOUON;DAKUON,,4
09_NORMAL_008,maid,weak,50,。,YOUON;SOKUON;HATSUON;DAKUON,,4
09_NORMAL_009,mage,mid,49,。,YOUON;HATSUON;CHOON;DAKUON,,4
09_NORMAL_010,artisan,mid,40,。,YOUON;DAKUON,,4
09_NORMAL_011,friend,weak,45,。,HATSUON;DAKUON,,4
09_NORMAL_012,boy,mid,30,。,YOUON;HATSUON;CHOON;DAKUON;HANDAKUON,,4
09_NORMAL_013,knight,mid,37,。,SOKUON;HATSUON;DAKUON,,4
09_NORMAL_014,girl,mid,33,。,HATSUON;DAKUON;HANDAKUON,,4
09_NORMAL_015,swordsman,mid,34,。,YOUON;SOKUON;HATSUON;DAKUON,,4
09_NORMAL_016,boy,weak,41,。,YOUON;HATSUON;DAKUON,,4
09_NORMAL_017,cool,mid,45,。,YOUON;SOKUON;HATSUON;DAKUON;GAIRAION,,4
09_NORMAL_018,friend,mid,35,。,YOUON;SOKUON;HATSUON;CHOON;DAKUON;GAIRAION,,4
09_NORMAL_019,teacher,mid,37,。,YOUON;SOKUON;HATSUON;DAKUON,,4
09_NORMAL_020,girl,mid,34,。,SOKUON;HATSUON;CHOON;DAKUON,,4
09_NORMAL_021,adventurer,strong,33,。,YOUON;HATSUON;DAKUON,,4
09_NORMAL_022,maid,weak,32,。,YOUON;SOKUON;HATSUON;CHOON;DAKUON;GAIRAION,,4
09_NORMAL_023,swordsman,mid,33,。,YOUON;SOKUON;HATSUON;DAKUON,,4
09_NORMAL_024,cool,weak,41,。,YOUON;HATSUON;DAKUON;GAIRAION,,4
09_NORMAL_025,girl,mid,42,。,YOUON;HATSUON;CHOON;DAKUON,,4
09_NORMAL_026,knight,strong,33,。,YOUON;SOKUON;HATSUON;DAKUON,,4
09_NORMAL_027,boy,weak,35,。,YOUON;SOKUON;CHOON;DAKUON;HANDAKUON,,4
09_NORMAL_028,friend,mid,31,。,SOKUON;HATSUON;DAKUON,,4
09_NORMAL_029,teacher,mid,35,。,YOUON;HATSUON;DAKUON,,4
09_NORMAL_030,girl,weak,40,。,SOKUON;HATSUON;DAKUON,,4
09_NORMAL_031,adventurer,strong,36,。,YOUON;SOKUON;HATSUON;DAKUON,,4
09_NORMAL_032,friend,mid,42,。,YOUON;SOKUON;DAKUON,,4
09_NORMAL_033,swordsman,mid,39,。,YOUON;SOKUON;HATSUON;DAKUON,,4
09_NORMAL_034,mage,weak,38,。,YOUON;HATSUON;CHOON;DAKUON;HANDAKUON,,4
09_NORMAL_035,girl,mid,34,。,YOUON;HATSUON;CHOON;DAKUON,,4
09_NORMAL_036,mage,strong,37,。,HATSUON;DAKUON,,4
09_NORMAL_037,maid,weak,37,。,CHOON;DAKUON,,4
09_NORMAL_038,knight,mid,41,。,HATSUON;DAKUON,,4
09_NORMAL_039,friend,mid,39,。,YOUON;HATSUON;DAKUON,,4
09_NORMAL_040,girl,weak,31,。,YOUON;CHOON;DAKUON,,4
09_NORMAL_041,girl,mid,36,。,YOUON;HATSUON;DAKUON,,4
09_NORMAL_042,boy,mid,32,。,HATSUON;DAKUON;HANDAKUON,,4
09_NORMAL_043,friend,weak,36,。,YOUON;HATSUON;DAKUON,,4
09_NORMAL_044,teacher,mid,39,。,YOUON;SOKUON;HATSUON;CHOON;DAKUON;HANDAKUON,,4
09_NORMAL_045,swordsman,strong,37,。,DAKUON,,4
09_NORMAL_046,cool,weak,32,。,HATSUON;DAKUON,,4
09_NORMAL_047,adventurer,strong,32,。,YOUON;SOKUON;HATSUON;DAKUON,,4
09_NORMAL_048,maid,weak,39,。,YOUON;SOKUON;HATSUON;CHOON;DAKUON;GAIRAION,,4
09_NORMAL_049,mage,mid,39,。,YOUON;HATSUON;DAKUON,,4
09_NORMAL_050,artisan,mid,34,。,YOUON;DAKUON,,4
09_NORMAL_051,friend,weak,37,。,YOUON;SOKUON;HATSUON;CHOON;DAKUON,,4
09_NORMAL_052,boy,mid,36,。,YOUON;CHOON;DAKUON;HANDAKUON,,4
09_NORMAL_053,knight,mid,39,。,HATSUON;DAKUON,,4
09_NORMAL_054,girl,mid,35,。,SOKUON;HATSUON;DAKUON;HANDAKUON,,4
09_NORMAL_055,swordsman,mid,40,。,YOUON;SOKUON;HATSUON;DAKUON,,4
09_NORMAL_056,boy,weak,37,。,YOUON;HATSUON;DAKUON;HANDAKUON;GAIRAION,,4
09_NORMAL_057,cool,mid,33,。,YOUON;SOKUON;HATSUON;DAKUON,,4
09_NORMAL_058,friend,mid,39,。,YOUON;SOKUON;HATSUON;CHOON;DAKUON;HANDAKUON,,4
09_NORMAL_059,teacher,mid,32,。,YOUON;SOKUON;HATSUON;DAKUON,,4
09_NORMAL_060,girl,mid,38,。,YOUON;SOKUON;HATSUON;DAKUON,,4
09_NORMAL_061,adventurer,strong,36,。,YOUON;HATSUON;CHOON;DAKUON,,4
09_NORMAL_062,maid,weak,35,。,SOKUON;HATSUON;CHOON;DAKUON;HANDAKUON,,4
09_NORMAL_063,swordsman,mid,33,。,YOUON;HATSUON;DAKUON,,4
09_NORMAL_064,cool,weak,34,。,YOUON;SOKUON;HATSUON;CHOON;DAKUON;HANDAKUON;GAIRAION,,4
09_NORMAL_065,girl,mid,36,。,YOUON;HATSUON;CHOON;DAKUON,,4
09_NORMAL_066,knight,strong,34,。,YOUON;HATSUON;DAKUON,,4
09_NORMAL_067,boy,weak,40,。,YOUON;DAKUON,,4
09_NORMAL_068,friend,mid,37,。,YOUON;SOKUON;HATSUON;DAKUON,,4
09_NORMAL_069,teacher,mid,36,。,YOUON;SOKUON;HATSUON;DAKUON,,4
09_NORMAL_070,girl,weak,38,。,YOUON;SOKUON;DAKUON,,4
