CONTEMPT_001 ふん、その程度か。
CONTEMPT_002 くだらない話に付き合う暇はないんだよ。
CONTEMPT_003 お前にできるとは到底思えないな。
CONTEMPT_004 そんな甘い考えでよくここまで来られたものだ。
CONTEMPT_005 笑わせるなよ。
CONTEMPT_006 期待するだけ無駄だと分かっていたけどね。
CONTEMPT_007 この程度の実力で挑んでくるとは滑稽だよ。
CONTEMPT_008 見る目がないと言わざるを得ないな。
CONTEMPT_009 やれやれ、話にならない。
CONTEMPT_010 底が浅いんだよ、お前の考えは。
CONTEMPT_011 はっ、取るに足らない存在だな。
CONTEMPT_012 その自信はどこから湧いてくるんだか。
CONTEMPT_013 我が魔術の前にはお前の小細工など塵に等しい。
CONTEMPT_014 口だけは一人前なんだけどねえ。
CONTEMPT_015 つまらない。
CONTEMPT_016 まるで成長が見られないのは才能の問題かな。
CONTEMPT_017 身の程知らずとはまさにこのことだ。
CONTEMPT_018 あたしに勝とうなんて百年早いわよ。
CONTEMPT_019 大した人物ではないと初めから分かっていたよ。
CONTEMPT_020 こちらの足を引っ張らないでもらえるかな。
CONTEMPT_021 同じ土俵に立つ資格すらないね。
CONTEMPT_022 それで本気のつもりなのか、残念だよ。
CONTEMPT_023 ご主人様、あのような者にお心を煩わせることはございませんわ。
CONTEMPT_024 浅知恵だな。
CONTEMPT_025 努力が足りないとしか言いようがないよ。
CONTEMPT_026 お前の言葉には中身が伴っていないんだ。
CONTEMPT_027 こんなものを見せられても困るんだけど。
CONTEMPT_028 退屈すぎて欠伸が出そうだよ。
CONTEMPT_029 ぬるいな、まったくぬるい。
CONTEMPT_030 どこまでお人好しなのか呆れるばかりだ。
CONTEMPT_031 騎士としてあのような未熟者を見ると嘆かわしい。
CONTEMPT_032 上っ面だけ取り繕っても見透かされるよ。
CONTEMPT_033 なるほど、その程度の理解力だったか。
CONTEMPT_034 時間の無駄だった。
CONTEMPT_035 お前のような奴がいるから集団の質が下がるんだ。
CONTEMPT_036 先輩としてはっきり言うけど、センスがないね。
CONTEMPT_037 三流の仕事だな。
CONTEMPT_038 こんなことも知らないのかと正直驚いたよ。
CONTEMPT_039 冒険者を名乗る資格はお前にはないよ。
CONTEMPT_040 ふふ、可哀想に。
CONTEMPT_041 そんな子供だましの手口に引っかかる馬鹿がいるのか。
CONTEMPT_042 お前の考えなど見え見えだよ。
CONTEMPT_043 厚顔無恥とはお前のことだ。
CONTEMPT_044 せいぜい頑張ることだな。
CONTEMPT_045 他人の受け売りばかりで自分の意見はないのか。
CONTEMPT_046 この品質で納品しようとする神経が理解できないよ。
CONTEMPT_047 情けないとしか言いようがないな。
CONTEMPT_048 ふん、笑止千万だ。
CONTEMPT_049 あの人の底の浅さにはいつも呆れさせられるよ。
CONTEMPT_050 半端な覚悟で足を踏み入れるべき場所ではないんだ。
CONTEMPT_051 器が小さい人間だなあとつくづく思うよ。
CONTEMPT_052 薄っぺらいんだよ、お前の言葉は。
CONTEMPT_053 何をやらせても中途半端なんだよな。
CONTEMPT_054 職人の目から見ればこんな品物は論外だよ。
CONTEMPT_055 ちゃんちゃらおかしいぜ。
CONTEMPT_056 まあ、あの程度の人には分からないだろうけどね。
CONTEMPT_057 実力もないのにプライドだけは高いんだな。
CONTEMPT_058 その程度の覚悟で我に挑むとは片腹痛い。
CONTEMPT_059 大口を叩く前に結果を出してからにしてくれ。
CONTEMPT_060 退屈だ。
CONTEMPT_061 先生の助言も馬の耳に念仏だったようだね。
CONTEMPT_062 見ていて恥ずかしくなるくらいの出来栄えだよ。
CONTEMPT_063 滑稽な虚勢を張らなくていいんだよ。
CONTEMPT_064 お粗末としか言いようがない結果だったな。
CONTEMPT_065 あんな低レベルな議論に時間を費やすのは無駄だよ。
CONTEMPT_066 小者が。
CONTEMPT_067 見かけ倒しだったか、つまらないな。
CONTEMPT_068 本質が分かっていないのに知ったかぶりをするな。
CONTEMPT_069 あたしの爪の垢でも煎じて飲めばいいのよ。
CONTEMPT_070 最初から期待なんてしていないさ。
CONTEMPT_071 恥ずかしくないのかと問いたいくらいだ。
CONTEMPT_072 口を開けば言い訳ばかりだな。
CONTEMPT_073 無様だな。
CONTEMPT_074 商売人としてあの駆け引きの拙さには閉口したよ。
CONTEMPT_075 あの人を相手にする価値なんてないよ。
CONTEMPT_076 ふうん、それが自慢なの。
CONTEMPT_077 まともな判断もできないなら黙っていてくれ。
CONTEMPT_078 素人の浅はかさが丸見えだな。
CONTEMPT_079 飽き飽きしたよ、同じ過ちの繰り返しには。
CONTEMPT_080 お前に何が分かるっていうんだ。
CONTEMPT_081 このような者に我が領地の防衛を任せるわけにはいかぬ。
CONTEMPT_082 もう少しまともな返事を期待していたのだけれど。
CONTEMPT_083 虫けら同然の力量で吠えるな。
CONTEMPT_084 独りよがりの正義感には付き合いきれないね。
CONTEMPT_085 へえ、それがお前の全力なんだ。
CONTEMPT_086 周りが見えていないのも困りものだよ。
CONTEMPT_087 こんな簡単なことすらできないのか。
CONTEMPT_088 あたしに指図しないでくれる。
CONTEMPT_089 見苦しい。
CONTEMPT_090 あの程度の人間に振り回されるなんて馬鹿らしいよ。
CONTEMPT_091 雑魚に用はない。
CONTEMPT_092 お前のせいで足並みが乱れたんだぞ。
CONTEMPT_093 お嬢様、あのような方とは距離を置かれるのがよろしいかと。
CONTEMPT_094 もっと頭を使えよ。
CONTEMPT_095 形だけ整えたところで中身が伴わなければ意味がない。
CONTEMPT_096 なんとも浅ましい振る舞いだな。
CONTEMPT_097 実績も経験もないのに偉そうにするなよ。
CONTEMPT_098 呆れたものだ。
CONTEMPT_099 手ぬるい仕事をして恥ずかしくないのか。
CONTEMPT_100 甘い甘い、世の中そんなに優しくないよ。
CONTEMPT_101 冒険者としての基本すら身についていないとは。
CONTEMPT_102 猿真似をしたところで本物にはなれないよ。
CONTEMPT_103 しょせんその程度の人間だったか。
CONTEMPT_104 騎士道を語る資格もない未熟者め。
CONTEMPT_105 凡庸だな。
CONTEMPT_106 人の上に立つ器ではないよ、あなたは。
CONTEMPT_107 こんな初歩的なミスを見せられるとは。
CONTEMPT_108 ティータイムの話題にすらならないわよ。
CONTEMPT_109 分をわきまえろ。
CONTEMPT_110 あの人のやり方は古すぎてまるで参考にならないね。
CONTEMPT_111 能書きはいいから実力で示してみろよ。
CONTEMPT_112 ふん、どうせまた失敗するさ。
CONTEMPT_113 あんなに威張っていたのにこの有様かよ。
CONTEMPT_114 勘違いも甚だしいね。
CONTEMPT_115 先輩として恥ずかしい成績だね。
CONTEMPT_116 安っぽい演技は見ていてつらいよ。
CONTEMPT_117 本気を出したつもりなのか、困ったものだ。
CONTEMPT_118 嘲笑されても仕方がないような出来栄えだ。
CONTEMPT_119 ガキの使いじゃないんだぞ。
CONTEMPT_120 こんな有様で威張れる神経が信じられない。
CONTEMPT_121 一流と三流の差は越えられないものなのだな。
CONTEMPT_122 お前の意見など誰も聞いていないよ。
CONTEMPT_123 そんなもので我が魔術に対抗するつもりか。
