LAZY_ANGRY_001 だるいんだけど……怒ってるんだよ、一応。
LAZY_ANGRY_002 めんどくさいけど言わせてもらうわ、ふざけんなって。
LAZY_ANGRY_003 あー……もう、怒る気力もないけど腹は立ってる。
LAZY_ANGRY_004 許すのもだるいけど許さないのもだるいなあ。
LAZY_ANGRY_005 はあ……勝手にしろよ、もう知らね。
LAZY_ANGRY_006 最低だよねえ……ったく。
LAZY_ANGRY_007 怒鳴りたいけどそんな元気ないわ。
LAZY_ANGRY_008 いい加減にして……疲れてるのに。
LAZY_ANGRY_009 文句言うのすらめんどい。
LAZY_ANGRY_010 だらだら怒ってもしょうがないか。
LAZY_ANGRY_011 もういいよ……勝手にやれば。
LAZY_ANGRY_012 ムカつくけど起き上がるのがだるい。
LAZY_ANGRY_013 あんたの相手する気力がもうないわ。
LAZY_ANGRY_014 よくもまあ……呆れるわ。
LAZY_ANGRY_015 腹立つなあ……でも動きたくない。
LAZY_ANGRY_016 怒りの持続力もないんだなあ、俺。
LAZY_ANGRY_017 ったく、余計な仕事増やさないでくれよ。
LAZY_ANGRY_018 しつこいなあ……もう放っといてよ。
LAZY_ANGRY_019 だるいのに余計なことしやがって。
LAZY_ANGRY_020 はいはい……悪いのは俺でいいよ、めんどくせえ。
LAZY_JOY_001 へえ……よかったじゃん。
LAZY_JOY_002 ふふ……まあまあ嬉しいかな。
LAZY_JOY_003 あー……幸せだなあ、このまま寝てたい。
LAZY_JOY_004 よかったねえ……おめでと。
LAZY_JOY_005 嬉しいけど起き上がるほどじゃないかな。
LAZY_JOY_006 じわじわ嬉しさがきてるよ……のんびりと。
LAZY_JOY_007 やったあ……って言いたいけど声出すのだるい。
LAZY_JOY_008 まあ、いいことあったからよしとするか。
LAZY_JOY_009 ぽかぽか幸せだなあ。
LAZY_JOY_010 嬉しいから今日はもう何もしなくていいよね。
LAZY_JOY_011 ゴロゴロしながら喜ぶって最高だなあ。
LAZY_JOY_012 いい天気だし気分もまあまあいいよ。
LAZY_JOY_013 ふわっと嬉しいかんじ。
LAZY_JOY_014 合格したんだ……よかった、安心した。
LAZY_JOY_015 うん、幸せ。
LAZY_JOY_016 ご褒美にだらだらする権利をもらおうかな。
LAZY_JOY_017 ゆるく嬉しいって感じ。
LAZY_JOY_018 頑張ったから今日はのびのびしていよう。
LAZY_JOY_019 なんか……じんわりくるなあ。
LAZY_JOY_020 まあ、悪くないよね。
LAZY_SAD_001 はあ……つらいなあ。
LAZY_SAD_002 悲しいけど泣く気力もない。
LAZY_SAD_003 だるくて悲しくてもうどうでもいい。
LAZY_SAD_004 寂しいけど……起き上がれない。
LAZY_SAD_005 ぼんやり涙がにじんでるよ。
LAZY_SAD_006 何もしたくない……悲しいだけ。
LAZY_SAD_007 あーあ……やっちゃったなあ。
LAZY_SAD_008 布団の中で悲しみに浸ってる。
LAZY_SAD_009 心が沈んでるのにベッドからも出られない。
LAZY_SAD_010 もういいや……全部。
LAZY_SAD_011 ぽつんと一人で寂しいなあ。
LAZY_SAD_012 元気出そうにも出し方忘れちゃった。
LAZY_SAD_013 溜息しか出ないよ。
LAZY_SAD_014 なんか……切ないね。
LAZY_SAD_015 どうせまた同じことの繰り返しだよ。
LAZY_SAD_016 悲しいことがあったけど布団から出たくない。
LAZY_SAD_017 心がぺたんこだよ。
LAZY_SAD_018 もう頑張れないかも。
LAZY_SAD_019 ぼーっとしながら涙だけ流れてる。
LAZY_SAD_020 あの人のこと……まだ忘れられないな。
LAZY_SURPRISE_001 え……まじで。
LAZY_SURPRISE_002 うそでしょ……びっくりなんだけど動けない。
LAZY_SURPRISE_003 へえ……それはちょっと驚いたかも。
LAZY_SURPRISE_004 ほう……意外だね。
LAZY_SURPRISE_005 ふーん……マジか。
LAZY_SURPRISE_006 あー……びっくり、でも寝ながら驚いてる。
LAZY_SURPRISE_007 思ってたのと違ったなあ。
LAZY_SURPRISE_008 え、なに……今の何だったの。
LAZY_SURPRISE_009 まさかねえ……世の中分からないもんだ。
LAZY_SURPRISE_010 やる気なく驚いてるって変かな。
LAZY_SURPRISE_011 うわ……起き上がりそうになったけどやめた。
