id,character_style,intensity,length_chars,punctuation,phoneme_tags,near_pair_group,reading_ease_score
LAZY_001,none,weak,11,…,SOKUON;DAKUON,,5
LAZY_002,none,strong,18,？,DAKUON,,5
LAZY_003,none,weak,41,。,CHOON;DAKUON,,4
LAZY_004,none,weak,21,。,SOKUON;HATSUON;CHOON;DAKUON,,5
LAZY_005,none,weak,40,。,SOKUON;HATSUON;DAKUON,,4
LAZY_006,none,strong,10,？,YOUON;CHOON;DAKUON,,5
LAZY_007,none,weak,19,。,CHOON,,5
LAZY_008,none,weak,37,…,SOKUON;HATSUON;DAKUON;GAIRAION,,4
LAZY_009,none,weak,39,。,SOKUON;DAKUON,,4
LAZY_010,friend,weak,20,。,SOKUON;CHOON,,5
LAZY_011,none,weak,38,。,HATSUON;CHOON;DAKUON,,4
LAZY_012,none,weak,19,。,CHOON;DAKUON,,5
LAZY_013,friend,weak,10,。,CHOON,,5
LAZY_014,butler,weak,38,。,SOKUON;HATSUON;DAKUON,P17,4
LAZY_015,none,weak,23,。,DAKUON,,5
LAZY_016,none,weak,37,。,CHOON;DAKUON,,4
LAZY_017,none,strong,19,？,DAKUON,P02,5
LAZY_018,mage,weak,37,。,HATSUON;DAKUON,P09,4
LAZY_019,none,weak,22,。,HATSUON;DAKUON,,5
LAZY_020,none,weak,38,。,SOKUON;DAKUON,,4
LAZY_021,none,weak,9,。,CHOON,P10,5
LAZY_022,none,weak,20,。,SOKUON;HATSUON;DAKUON;HANDAKUON,P16,5
LAZY_023,knight,weak,37,。,DAKUON,,4
LAZY_024,none,weak,21,。,SOKUON,,5
LAZY_025,none,weak,39,。,SOKUON;HATSUON;DAKUON;HANDAKUON,,4
LAZY_026,none,weak,37,。,DAKUON,,4
LAZY_027,butler,weak,22,。,YOUON,,5
LAZY_028,none,weak,36,。,SOKUON;DAKUON,,4
LAZY_029,none,weak,20,。,,P18,5
LAZY_030,artisan,weak,38,。,HATSUON;CHOON;DAKUON,,4
LAZY_031,none,weak,10,。,DAKUON,P07,5
LAZY_032,none,weak,21,。,HATSUON;CHOON;DAKUON;HANDAKUON,,5
LAZY_033,none,weak,37,。,SOKUON;DAKUON,,4
LAZY_034,none,weak,39,。,SOKUON;DAKUON,,4
LAZY_035,none,strong,22,？,SOKUON;DAKUON,,5
LAZY_036,none,weak,38,。,SOKUON;DAKUON,,4
LAZY_037,senpai,weak,21,。,DAKUON,,5
LAZY_038,mage,weak,38,。,HATSUON;DAKUON,,4
LAZY_039,mage,weak,21,。,CHOON;DAKUON,,5
LAZY_040,none,weak,38,。,CHOON;DAKUON,,4
LAZY_041,none,weak,10,…,,P04,5
LAZY_042,swordsman,weak,21,。,DAKUON,,5
LAZY_043,none,weak,38,。,DAKUON,,4
LAZY_044,adventurer,weak,20,。,CHOON;DAKUON,,5
LAZY_045,none,weak,38,。,CHOON;DAKUON,,4
LAZY_046,none,weak,10,。,CHOON;DAKUON,,5
LAZY_047,none,weak,20,…,CHOON;DAKUON,,5
LAZY_048,none,weak,37,。,HATSUON;DAKUON,,4
LAZY_049,none,weak,39,。,SOKUON;CHOON;DAKUON,,4
LAZY_050,none,weak,18,…,SOKUON;DAKUON,,5
LAZY_051,none,weak,37,…,HATSUON;CHOON;DAKUON,,4
LAZY_052,none,strong,20,？,CHOON;DAKUON;GAIRAION,P08,5
LAZY_053,none,mid,13,。,CHOON;DAKUON,,5
LAZY_054,none,mid,38,。,CHOON;DAKUON,,4
LAZY_055,none,mid,19,。,CHOON;DAKUON;HANDAKUON,,5
LAZY_056,none,mid,38,。,CHOON;DAKUON,,4
LAZY_057,none,mid,21,。,HATSUON,P03,5
LAZY_058,adventurer,mid,38,。,SOKUON;DAKUON,,4
LAZY_059,artisan,mid,23,。,DAKUON,,5
LAZY_060,none,mid,40,。,DAKUON,,4
LAZY_061,maid,strong,10,？,SOKUON,,5
LAZY_062,none,strong,19,？,SOKUON;CHOON;DAKUON,P08,5
LAZY_063,none,mid,37,。,SOKUON;DAKUON,,4
LAZY_064,none,weak,20,。,HATSUON;CHOON;DAKUON,,5
LAZY_065,none,mid,40,。,CHOON;DAKUON,,4
LAZY_066,none,mid,38,。,HATSUON;DAKUON;HANDAKUON,,4
LAZY_067,none,strong,21,？,HATSUON,P17,5
