id,character_style,intensity,punctuation,near_pair_group,scene
WHISPER_001,none,weak,。,,寝室で子のそばから家族へ
WHISPER_002,cool,mid,。,,庭で友人と鳥を見守る
WHISPER_003,none,mid,。,,図書館で友人に場所を教える
WHISPER_004,mage,mid,。,,書斎で弟子に小声で教える
WHISPER_005,none,weak,…,,寝室で子に語りかける
WHISPER_006,maker,mid,。,P07,寝室で娘の様子を家族に伝える
WHISPER_007,none,weak,。,P01,寝室で兄のそばから母へ
WHISPER_008,scout,mid,。,P13,森で仲間に鳥の居場所を伝える
WHISPER_009,none,mid,。,P02,舞台袖で後輩に合図
WHISPER_010,senior,mid,。,P09,教室で後輩にこっそり知らせる
WHISPER_011,none,strong,！,P03,職場で同僚にこっそり注意
WHISPER_012,steward,mid,。,P05,廊下で客に就寝中の配慮を伝える
WHISPER_013,teacher,weak,。,,図書室で生徒に場所を示す
WHISPER_014,none,strong,。,,舞台袖で後輩に支えを伝える
WHISPER_015,youth,mid,？,,庭で子猫を前に姉へ話す
WHISPER_016,none,weak,。,,夜の居間で恋人に語る
WHISPER_017,none,weak,。,P04,夜の居間で家族に思いを話す
WHISPER_018,none,mid,。,,庭で子どもと鳥を見守る
WHISPER_019,maker,mid,。,,庭で孫と猫を見守る
WHISPER_020,none,strong,。,,かくれんぼで友人に合図
WHISPER_021,cool,weak,。,,図書館で友人へ場所を示す
WHISPER_022,none,mid,。,P05,廊下で友人に移動を提案
WHISPER_023,mage,mid,。,P15,庭で弟子に小動物を示す
WHISPER_024,none,weak,。,P06,病室で家族に付き添う
WHISPER_025,teacher,mid,。,P11,寝室で家族に子の様子を伝える
WHISPER_026,scout,mid,。,,野営地で仲間に気遣う
WHISPER_027,none,weak,。,,病室で家族に付き添う
WHISPER_028,senior,weak,。,,図書館で友人に話す
WHISPER_029,none,mid,。,,家で弟と祝いを相談
WHISPER_030,steward,mid,。,,食卓で家族へ内緒を伝える
WHISPER_031,none,strong,。,,職場で同僚にこっそり知らせる
WHISPER_032,youth,strong,！,,かくれんぼで友人へ合図
WHISPER_033,none,weak,。,,電車で友人に気遣う
WHISPER_034,none,mid,。,P07,寝室で夫に子の様子を話す
WHISPER_035,none,mid,。,,夜の廊下で家族に頼む
WHISPER_036,mage,weak,。,,寝室で子に語りかける
WHISPER_037,none,strong,！,P08,工房で家族に内緒を頼む
WHISPER_038,cool,mid,。,P03,職場で同僚に小声で知らせる
WHISPER_039,senior,mid,。,,庭で妹と小動物を見守る
WHISPER_040,none,strong,。,,森で仲間へ観察の合図
WHISPER_041,youth,mid,。,P01,寝室で眠る弟のそばで母に
WHISPER_042,none,weak,。,P09,教室で友人の襟を直す
WHISPER_043,maker,strong,。,P08,工房で弟子に小声で秘密を話す
WHISPER_044,none,mid,。,P10,帰り道で恋人へ打ち明ける
WHISPER_045,scout,weak,。,,宿で友人に寝床を示す
WHISPER_046,none,weak,。,,寝室で子を寝かしつける
WHISPER_047,teacher,mid,。,,庭で子と鳥を観察する
WHISPER_048,none,mid,。,,図書室で隣の人に気遣う
WHISPER_049,steward,strong,！,,舞台袖で仲間へ合図
WHISPER_050,none,strong,。,,舞台袖で仲間に合図
WHISPER_051,none,weak,。,P11,寝室で家族に子の様子を伝える
WHISPER_052,cool,strong,。,P04,寝室で恋人に気持ちを伝える
WHISPER_053,none,mid,？,,図書館で友人に尋ねる
WHISPER_054,mage,strong,。,P16,夜の書斎で友人に思いを語る
WHISPER_055,none,mid,。,P12,舞台袖で友人を支える
WHISPER_056,scout,strong,。,P14,かくれんぼで仲間に合図
WHISPER_057,none,strong,！,P13,森で友人へ小声で知らせる
WHISPER_058,senior,strong,。,P10,夜の居間で友人に告白する
WHISPER_059,none,weak,。,P14,かくれんぼで子に合図
WHISPER_060,steward,strong,。,P06,寝室で家族に付き添う
WHISPER_061,maker,weak,。,,夜の居間で家族に話す
WHISPER_062,none,mid,。,P15,庭で子に羽化を示す
WHISPER_063,teacher,strong,。,P12,発表前に生徒へ小声で励ます
WHISPER_064,none,weak,。,P16,夜の居間で友人に気持ちを話す
WHISPER_065,youth,strong,。,P02,舞台袖で友人に小声で合図
WHISPER_066,none,mid,。,,図書館で隣の友人へ
WHISPER_067,none,weak,。,,公園で恋人に近くで語る
WHISPER_068,none,strong,！,,かくれんぼで仲間へ合図
WHISPER_069,cool,weak,。,,会場で友人に小声で相談
WHISPER_070,none,weak,。,,電車で家族に声をかける
WHISPER_071,mage,weak,。,,家で友人に秘密の計画を話す
WHISPER_072,none,strong,！,,かくれんぼで仲間へ合図
WHISPER_073,maker,weak,。,,病室で友人に付き添う
WHISPER_074,none,mid,。,,夜の台所で姉に内緒話
WHISPER_075,scout,weak,。,,市場で仲間に内緒を話す
WHISPER_076,steward,weak,。,,図書室で客へ場所を示す
WHISPER_077,none,weak,。,,病室で友人へ気遣う
WHISPER_078,senior,weak,？,,家で弟に計画を打ち明ける
WHISPER_079,none,mid,。,,公園で恋人へ近くで話す
WHISPER_080,teacher,weak,。,,教室で生徒に内密に伝える
WHISPER_081,none,mid,。,,家で姉に内緒の相談
WHISPER_082,youth,mid,？,,教室で隣の友人へ尋ねる
WHISPER_083,none,strong,。,,病室で友人へ寄り添う
WHISPER_084,none,strong,！,,舞台袖で後輩に合図
WHISPER_085,none,weak,。,,病室で家族へ気遣う
WHISPER_086,steward,weak,。,,庭で子どもと鳥を眺める
WHISPER_087,cool,strong,！,,舞台袖で仲間に合図
WHISPER_088,none,weak,。,,夜の台所で家族に知らせる
WHISPER_089,mage,strong,！,,庭で弟子に合図
WHISPER_090,none,mid,？,,電車で子に小声で話す
WHISPER_091,maker,strong,！,,かくれんぼで子に合図
WHISPER_092,none,strong,。,,かくれんぼで仲間へ合図
WHISPER_093,youth,weak,。,,図書室で友人に伝える
WHISPER_094,none,weak,。,,寝室で家族へ語る
WHISPER_095,scout,strong,！,,舞台袖で仲間に合図
WHISPER_096,none,mid,。,,職場で同僚へ内緒を伝える
WHISPER_097,senior,strong,！,,舞台袖で後輩に合図
WHISPER_098,none,strong,。,,庭で友人へ小声で知らせる
WHISPER_099,teacher,strong,！,,舞台袖で仲間に合図
WHISPER_100,none,weak,。,,夜の居間で恋人へ思いを伝える
WHISPER_101,none,mid,？,,夜の家で友人に内緒話
WHISPER_102,cool,mid,？,,電車で友人に声をかける
WHISPER_103,none,mid,？,,図書館で友人へ物を渡す
WHISPER_104,mage,mid,？,,書斎で友人に内緒を頼む
WHISPER_105,none,strong,。,,舞台袖で後輩に安心を伝える
WHISPER_106,maker,mid,？,,図書室で友人へ確認
WHISPER_107,none,weak,。,,病室で家族の手を取る
WHISPER_108,scout,weak,…,,夜の川辺で友人に打ち明ける
WHISPER_109,none,mid,。,,家で弟に贈り物を隠す相談
WHISPER_110,senior,mid,？,,電車で後輩に提案する
WHISPER_111,none,strong,？,,森で仲間へ小声で合図
