id,character_style,intensity,length_chars,punctuation,phoneme_tags,near_pair_group,reading_ease_score
ANGRY_001,none,weak,10,。,CHOON;DAKUON,,5
ANGRY_002,teacher,weak,19,。,HATSUON;DAKUON,P19,5
ANGRY_003,none,weak,37,。,DAKUON,,4
ANGRY_004,none,mid,39,？,SOKUON;CHOON;DAKUON,,4
ANGRY_005,artisan,weak,19,。,HATSUON;DAKUON,,5
ANGRY_006,none,strong,37,！,SOKUON;HATSUON;DAKUON,,4
ANGRY_007,none,strong,10,！,DAKUON,,5
ANGRY_008,none,weak,21,。,DAKUON,,5
ANGRY_009,artisan,weak,36,。,DAKUON,,4
ANGRY_010,none,weak,21,。,DAKUON,P07,5
ANGRY_011,none,weak,36,。,SOKUON;DAKUON,,4
ANGRY_012,none,weak,36,。,HATSUON;DAKUON,,4
ANGRY_013,none,weak,24,。,DAKUON,,5
ANGRY_014,none,weak,12,。,HATSUON;DAKUON,P01,5
ANGRY_015,swordsman,weak,36,。,DAKUON,,4
ANGRY_016,none,weak,20,。,DAKUON,,5
ANGRY_017,none,weak,38,。,SOKUON;DAKUON,,4
ANGRY_018,none,weak,21,。,HATSUON;DAKUON,,5
ANGRY_019,none,strong,36,？,HATSUON;DAKUON,P19,4
ANGRY_020,none,weak,21,。,SOKUON;DAKUON,,5
ANGRY_021,none,weak,19,。,SOKUON;DAKUON,,5
ANGRY_022,none,strong,36,！,SOKUON;HATSUON;DAKUON,,4
ANGRY_023,none,weak,37,。,DAKUON,,4
ANGRY_024,none,weak,20,。,HANDAKUON,,5
ANGRY_025,none,weak,39,。,YOUON;SOKUON;DAKUON,,4
ANGRY_026,none,weak,14,。,SOKUON;HATSUON,P06,5
ANGRY_027,none,strong,44,。,DAKUON,,4
ANGRY_028,none,weak,21,。,SOKUON;HATSUON;DAKUON,P03,5
ANGRY_029,none,weak,36,。,SOKUON;DAKUON,,4
ANGRY_030,none,weak,24,。,SOKUON;DAKUON,,5
ANGRY_031,none,weak,21,。,HATSUON;DAKUON,,5
ANGRY_032,none,strong,37,…,DAKUON,,4
ANGRY_033,none,weak,20,…,DAKUON,,5
ANGRY_034,none,weak,38,。,HATSUON;DAKUON,,4
ANGRY_035,senpai,weak,36,。,DAKUON,,4
ANGRY_036,none,weak,12,。,CHOON,P05,5
ANGRY_037,none,weak,21,。,DAKUON,,5
ANGRY_038,mage,strong,43,！,DAKUON,,4
ANGRY_039,none,strong,20,？,SOKUON;DAKUON,,5
ANGRY_040,none,weak,36,。,SOKUON;DAKUON,,4
ANGRY_041,none,weak,12,。,DAKUON,,5
ANGRY_042,knight,strong,20,！,DAKUON,,5
ANGRY_043,none,weak,36,。,SOKUON;DAKUON,,4
ANGRY_044,none,weak,37,。,DAKUON,,4
ANGRY_045,none,weak,19,。,SOKUON;DAKUON,,5
ANGRY_046,none,strong,37,。,SOKUON;DAKUON,,4
ANGRY_047,none,weak,10,。,,,5
ANGRY_048,none,weak,20,。,SOKUON,P05,5
ANGRY_049,artisan,weak,37,。,SOKUON;HATSUON;DAKUON,,4
ANGRY_050,none,weak,19,。,HATSUON;DAKUON,P18,5
ANGRY_051,adventurer,strong,39,！,DAKUON,P14,4
ANGRY_052,none,weak,37,？,HATSUON;DAKUON,,4
ANGRY_053,none,strong,22,？,DAKUON,P11,5
ANGRY_054,none,weak,11,。,HATSUON;DAKUON,P10,5
ANGRY_055,none,weak,44,。,SOKUON;HATSUON;DAKUON,,4
ANGRY_056,none,weak,20,。,HATSUON;DAKUON,P04,5
ANGRY_057,none,weak,36,。,HATSUON;DAKUON,,4
ANGRY_058,none,weak,19,。,DAKUON,,5
ANGRY_059,none,weak,36,。,CHOON;DAKUON,P20,4
ANGRY_060,none,strong,25,。,HATSUON;DAKUON,P06,5
ANGRY_061,none,weak,19,。,SOKUON,,5
ANGRY_062,maid,weak,36,。,SOKUON;DAKUON;HANDAKUON,,4
ANGRY_063,none,strong,37,！,DAKUON,,4
ANGRY_064,none,weak,20,。,DAKUON,,5
ANGRY_065,teacher,weak,36,。,CHOON;DAKUON,,4
ANGRY_066,none,weak,10,。,DAKUON,P13,5
ANGRY_067,none,weak,36,。,HATSUON;DAKUON,,4
ANGRY_068,none,weak,19,。,SOKUON,P12,5
