SAD_001 もう何も残っていない。
SAD_002 あの日に戻れたらいいのに。
SAD_003 大切なものを失ってしまった。
SAD_004 どうしてこんなことになったんだろう。
SAD_005 もう会えないなんて、信じられない。
SAD_006 あの時のことを思い出すたびに、胸が痛くなる。
SAD_007 何もかもが空しく感じる。
SAD_008 取り戻せないものがあるんだね。
SAD_009 もう笑えない。笑う気力もない。
SAD_010 どうして私だけがこんな目に。
SAD_011 あの人はもういない。それが現実なんだ。
SAD_012 こんなに寂しい思いをするなんて。
SAD_013 何をしても心が晴れない。
SAD_014 あの時、もっと違う選択をしていれば。
SAD_015 後悔しかない。ただ後悔しかないんだ。
SAD_016 涙が止まらない。どうしても止まらないんだ。
SAD_017 もう何も楽しくない。
SAD_018 失ったものの大きさに、今更気づいた。
SAD_019 どうして私を置いて行ってしまったの。
SAD_020 こんなに辛いのは初めてだ。
SAD_021 何もかもが虚しく思える。
SAD_022 あの笑顔をもう一度見たかった。
SAD_023 もう戻らない日々を思うと、涙が出る。
SAD_024 心にぽっかりと穴が空いたみたいだ。
SAD_025 どうして気づいてあげられなかったんだろう。
SAD_026 もう何も信じられない気がする。
SAD_027 あの時の自分を責めてしまう。
SAD_028 こんなに寂しい夜は久しぶりだ。
SAD_029 誰にも分かってもらえない悲しみがある。
SAD_030 もう笑顔になれる気がしない。
SAD_031 何もかもが色あせて見える。
SAD_032 どうしてこんなに辛いんだろう。
SAD_033 あの人の声がもう聞こえない。
SAD_034 取り返しのつかないことをしてしまった。
SAD_035 こんなに後悔するなんて思わなかった。
SAD_036 もう誰も私を必要としていない気がする。
SAD_037 あの日々は本当に幸せだったんだね。
SAD_038 何もかもが遠い過去のようだ。
SAD_039 もう会えないなんて、受け入れられない。
SAD_040 心が重くて、何も手につかない。
SAD_041 どうして私ばかりがこんな思いを。
SAD_042 あの時の笑顔が忘れられない。
SAD_043 もう戻れない場所がある。
SAD_044 こんなに寂しいのは初めてだ。
SAD_045 何をしても虚しさが消えない。
SAD_046 あの人はもういない。それが辛いんだ。
SAD_047 もう何も楽しめない気がする。
SAD_048 どうして私を残して行ってしまったの。
SAD_049 後悔しても、もう遅いんだよね。
SAD_050 涙が枯れるまで泣いた気がする。
SAD_051 ご主人様、お慰めの言葉もございません。
SAD_052 もう何もかもがどうでもいい。
SAD_053 あの日に戻りたい。ただそれだけを願ってる。
SAD_054 こんなに心が痛むなんて。
SAD_055 何もかもが虚しく感じてしまう。
SAD_056 もう笑えない。笑う理由がないんだ。
SAD_057 どうして気づいてあげられなかったんだろう。
SAD_058 あの人の温もりをもう一度感じたかった。
SAD_059 こんなに寂しい思いは二度としたくない。
SAD_060 何をしても心が晴れないんだ。
SAD_061 もう会えないなんて、辛すぎる。
SAD_062 取り戻せない時間がある。
SAD_063 どうしてこんなことになったんだろう。
SAD_064 あの時の自分を責めずにはいられない。
SAD_065 もう何も信じられない。
SAD_066 こんなに後悔するなんて思わなかった。
SAD_067 心にぽっかりと穴が空いてしまった。
SAD_068 何もかもが色あせて見えるんだ。
SAD_069 もう誰も私を必要としていない気がする。
SAD_070 あの笑顔をもう一度見たかった。
SAD_071 こんなに辛いのは初めてだ。
SAD_072 どうして私を置いて行ってしまったの。
SAD_073 もう戻らない日々を思うと悲しくなる。
SAD_074 涙が止まらない。どうしても止まらないんだ。
SAD_075 何もかもが虚しく思えてしまう。
SAD_076 あの人はもういない。それが現実なんだ。
SAD_077 もう笑顔になれる気がしない。
SAD_078 こんなに寂しい夜は久しぶりだ。
SAD_079 どうして気づいてあげられなかったのか。
SAD_080 後悔しかない。ただ後悔しかないんだ。
SAD_081 もう何も楽しくない。何もかもが空しい。
SAD_082 あの時、もっと違う選択をしていれば。
SAD_083 こんなに心が痛むなんて思わなかった。
SAD_084 何をしても虚しさが消えないんだ。
SAD_085 もう会えないなんて、信じられない。
SAD_086 どうして私ばかりがこんな思いを。
SAD_087 あの日々は本当に幸せだったんだね。
SAD_088 もう戻れない場所がある。
SAD_089 こんなに寂しいのは初めてだ。
SAD_090 心が重くて、何も手につかない。
SAD_091 何もかもが遠い過去のようだ。
SAD_092 もう笑えない。笑う気力もない。
SAD_093 どうしてこんなに辛いんだろう。
SAD_094 あの人の声がもう聞こえない。
SAD_095 取り返しのつかないことをしてしまった。
SAD_096 もう何もかもがどうでもいい。
SAD_097 こんなに後悔するなんて。
SAD_098 涙が枯れるまで泣いた気がする。
SAD_099 何もかもが虚しく感じてしまう。
SAD_100 もう誰も私を必要としていない。
SAD_101 お嬢さま、どうかお心をお強くお持ちください。
SAD_102 あの時の笑顔が忘れられない。
SAD_103 もう戻れない日々がある。
SAD_104 こんなに寂しい思いをするなんて。
SAD_105 何をしても心が晴れないんだ。
SAD_106 どうして私を残して行ってしまったの。
SAD_107 後悔しても、もう遅いんだよね。
SAD_108 もう会えないなんて、辛すぎる。
SAD_109 あの人の温もりをもう一度感じたかった。
SAD_110 こんなに心が痛むなんて。
SAD_111 何もかもが色あせて見えるんだ。
SAD_112 もう笑顔になれる気がしない。
SAD_113 どうして気づいてあげられなかったんだろう。
SAD_114 あの笑顔をもう一度見たかった。
SAD_115 こんなに辛いのは初めてだ。
SAD_116 もう何も楽しめない気がする。
SAD_117 心にぽっかりと穴が空いてしまった。
SAD_118 何もかもが虚しく思えてしまう。
SAD_119 あの人はもういない。それが辛いんだ。
SAD_120 もう笑えない。笑う理由がないんだ。
SAD_121 こんなに寂しい夜は久しぶりだ。
SAD_122 どうしてこんなことになったんだろう。
SAD_123 後悔しかない。ただ後悔しかないんだ。
SAD_124 もう何もかもがどうでもいい。
SAD_125 あの時、もっと違う選択をしていれば。
SAD_126 こんなに後悔するなんて思わなかった。
SAD_127 何をしても虚しさが消えないんだ。
SAD_128 もう会えないなんて、信じられない。
SAD_129 どうして私ばかりがこんな思いを。
SAD_130 涙が止まらない。どうしても止まらないんだ。
SAD_131 あの日々は本当に幸せだったんだね。
SAD_132 もう戻れない場所がある。
SAD_133 こんなに寂しいのは初めてだ。
SAD_134 心が重くて、何も手につかない。
SAD_135 何もかもが遠い過去のようだ。
SAD_136 もう笑えない。笑う気力もない。
SAD_137 どうしてこんなに辛いんだろう。
SAD_138 あの人の声がもう聞こえない。
SAD_139 取り返しのつかないことをしてしまった。
SAD_140 もう何も信じられない。
SAD_141 こんなに後悔するなんて。
SAD_142 涙が枯れるまで泣いた気がする。
SAD_143 何もかもが虚しく感じてしまう。
SAD_144 もう誰も私を必要としていない。
SAD_145 あの時の笑顔が忘れられない。
SAD_146 もう戻れない日々がある。
SAD_147 こんなに寂しい思いをするなんて。
SAD_148 何をしても心が晴れないんだ。
SAD_149 どうして私を残して行ってしまったの。
SAD_150 後悔しても、もう遅いんだよね。
SAD_151 ご主人様、私にもお慰めする言葉が見つかりません。
SAD_152 もう会えないなんて、辛すぎる。
SAD_153 あの人の温もりをもう一度感じたかった。
SAD_154 こんなに心が痛むなんて。
SAD_155 何もかもが色あせて見えるんだ。
SAD_156 もう笑顔になれる気がしない。
SAD_157 どうして気づいてあげられなかったんだろう。
SAD_158 あの笑顔をもう一度見たかった。
SAD_159 こんなに辛いのは初めてだ。
SAD_160 もう何も楽しめない気がする。
SAD_161 心にぽっかりと穴が空いてしまった。
SAD_162 何もかもが虚しく思えてしまう。
SAD_163 あの人はもういない。それが辛いんだ。
SAD_164 もう笑えない。笑う理由がないんだ。
SAD_165 こんなに寂しい夜は久しぶりだ。
SAD_166 どうしてこんなことになったんだろう。
SAD_167 後悔しかない。ただ後悔しかないんだ。
SAD_168 もう何もかもがどうでもいい。
SAD_169 あの時、もっと違う選択をしていれば。
SAD_170 こんなに後悔するなんて思わなかった。
SAD_171 何をしても虚しさが消えないんだ。
SAD_172 もう会えないなんて、信じられない。
SAD_173 どうして私ばかりがこんな思いを。
SAD_174 涙が止まらない。どうしても止まらないんだ。
SAD_175 あの日々は本当に幸せだったんだね。
SAD_176 もう戻れない場所がある。
SAD_177 こんなに寂しいのは初めてだ。
SAD_178 心が重くて、何も手につかない。
SAD_179 何もかもが遠い過去のようだ。
SAD_180 もう笑えない。笑う気力もない。
SAD_181 どうしてこんなに辛いんだろう。
SAD_182 あの人の声がもう聞こえない。
SAD_183 取り返しのつかないことをしてしまった。
SAD_184 もう何も信じられない。
SAD_185 こんなに後悔するなんて。
SAD_186 涙が枯れるまで泣いた気がする。
SAD_187 何もかもが虚しく感じてしまう。
SAD_188 もう誰も私を必要としていない。
SAD_189 あの時の笑顔が忘れられない。
SAD_190 もう戻れない日々がある。
SAD_191 こんなに寂しい思いをするなんて。
SAD_192 何をしても心が晴れないんだ。
SAD_193 どうして私を残して行ってしまったの。
SAD_194 後悔しても、もう遅いんだよね。
SAD_195 もう会えないなんて、辛すぎる。
SAD_196 あの人の温もりをもう一度感じたかった。
SAD_197 こんなに心が痛むなんて。
SAD_198 何もかもが色あせて見えるんだ。
SAD_199 もう笑顔になれる気がしない。
SAD_200 お嬢さま、時が癒してくれることを願うばかりです。
