id,character_style,intensity,punctuation,near_pair_group,scene
FUN_001,none,weak,。,,商店街で友人と散歩する
FUN_002,cool,mid,。,,公園で友人と写真を撮る
FUN_003,none,mid,。,,家で兄と物語を考える
FUN_004,mage,mid,。,,書斎で友人と名前遊び
FUN_005,none,weak,。,,庭で友人の作品を見る
FUN_006,maker,mid,。,P07,工房で友人と端材を眺める
FUN_007,none,strong,！,P01,公園で友人と雲を見る
FUN_008,scout,mid,。,P13,野営地で仲間と石を並べる
FUN_009,none,weak,。,P02,居間で子を宝探しに誘う
FUN_010,senior,mid,。,P09,部室で後輩と変顔を撮る
FUN_011,none,mid,。,P03,カフェで友人と菓子を眺める
FUN_012,steward,mid,。,P05,食堂で家族に目隠し遊びを提案
FUN_013,teacher,weak,。,,居間で子の絵を眺める
FUN_014,none,strong,！,,庭で仲間と水遊びを始める
FUN_015,youth,mid,。,,台所で姉と菓子を飾る
FUN_016,none,weak,。,,台所で友人と料理を楽しむ
FUN_017,none,weak,。,P04,家で兄と遊びの罰を決める
FUN_018,cool,mid,。,P03,喫茶店で友人と名前遊び
FUN_019,none,strong,！,P05,食卓で家族に遊びを提案
FUN_020,none,mid,。,,教室で友人となぞなぞを作る
FUN_021,mage,weak,。,,台所で友人の菓子を見る
FUN_022,none,mid,。,P06,居間で父の仮装を選ぶ
FUN_023,teacher,mid,。,P11,教室で生徒と連想遊び
FUN_024,none,weak,。,P07,工作室で友人と端材を選ぶ
FUN_025,youth,mid,。,P01,公園で友人に雲の形を話す
FUN_026,maker,mid,。,,家で友人とパズルをする
FUN_027,none,strong,！,,公園で家族と遊ぶ
FUN_028,scout,weak,。,,食堂で仲間のパンを見る
FUN_029,none,weak,。,,部屋で妹の人形遊びに参加
FUN_030,senior,mid,。,,教室で後輩となぞなぞ
FUN_031,none,mid,。,,駅前で友人に寄り道を誘う
FUN_032,steward,mid,。,,台所で家族と盛り付けを遊ぶ
FUN_033,none,strong,！,,広場で仲間の演技に応じる
FUN_034,none,mid,。,P08,庭で弟と飛行機を競う
FUN_035,mage,mid,。,P15,庭で友人と葉を並べる
FUN_036,none,mid,。,,教室で友人を遊びに誘う
FUN_037,none,strong,！,P09,部室で仲間の写真を撮る
FUN_038,cool,strong,。,P04,部屋で友人と勝負を始める
FUN_039,scout,mid,。,,街道で友人をからかう
FUN_040,none,weak,。,,喫茶店で友人と想像を語る
FUN_041,maker,strong,！,P08,庭で家族と競争を始める
FUN_042,none,weak,？,P10,公園で子の店遊びに参加
FUN_043,senior,strong,！,P10,公園で友人と即興遊び
FUN_044,none,mid,。,P11,教室で友人と物語を考える
FUN_045,steward,weak,。,,庭で子どもの冠をかぶる
FUN_046,none,mid,。,,教室で友人と遊びを相談
FUN_047,teacher,mid,。,,教室で生徒と早口遊び
FUN_048,none,strong,！,,庭で家族と競争する
FUN_049,youth,strong,！,,庭で弟と水遊びをする
FUN_050,none,weak,。,,家で友人と衣装を選ぶ
FUN_051,none,weak,。,P12,庭で家族と隠れんぼする
FUN_052,mage,strong,！,P16,部屋で弟子と物語遊び
FUN_053,none,strong,！,,公園で仲間に声をかける
FUN_054,scout,strong,！,P14,宿で仲間に勝負を挑む
FUN_055,none,strong,！,P13,野営地で仲間と国作り遊び
FUN_056,steward,strong,。,P06,居間で友人と仮装を相談
FUN_057,none,mid,。,P14,居間で友人と袋当て遊び
FUN_058,teacher,strong,！,P12,庭で家族と遊びを相談
FUN_059,none,weak,。,P15,庭で姉と葉の帽子を作る
FUN_060,youth,strong,！,P02,家で弟を宝探しに誘う
FUN_061,cool,weak,。,,机で同僚の落書きを見る
FUN_062,none,strong,！,P16,家で兄と物語を作る
FUN_063,maker,weak,。,,工房で弟子をからかう
FUN_064,none,weak,。,,休憩室で同僚と冗談を言う
FUN_065,senior,weak,。,,喫茶店で友人と想像を楽しむ
FUN_066,none,mid,。,,台所で友人と盛り付ける
FUN_067,none,mid,。,,台所で子と料理を楽しむ
FUN_068,maker,weak,。,,台所で子の料理を眺める
FUN_069,none,strong,！,,公園で仲間と写真を撮る
FUN_070,none,strong,！,,公園で仲間を遊びに誘う
FUN_071,cool,weak,。,,台所で友人とパンを焼く
FUN_072,none,weak,。,,自室で妹の人形を見る
FUN_073,mage,weak,。,,庭で弟子を遊びに誘う
FUN_074,none,mid,？,,教室で友人の落書きを見る
FUN_075,scout,weak,。,,市場で仲間に遊びを提案
FUN_076,senior,weak,。,,家で弟の帽子をからかう
FUN_077,none,strong,！,,広場で家族と遊ぶ
FUN_078,steward,weak,。,,居間で友人と手品を練習
FUN_079,none,weak,。,,店で友人と帽子を試す
FUN_080,teacher,weak,。,,台所で家族とパンを飾る
FUN_081,none,weak,。,,職場で同僚の冗談に応じる
FUN_082,youth,mid,？,,食卓で家族に遊びを提案
FUN_083,none,mid,。,,部室で友人と朗読遊び
FUN_084,none,mid,。,,家で弟と演技を考える
FUN_085,youth,weak,。,,廊下で友人の寝癖をからかう
FUN_086,none,strong,！,,家で弟と隠れんぼする
FUN_087,cool,strong,！,,部屋で友人の遊びに応じる
FUN_088,none,weak,。,,庭で友人と影を眺める
FUN_089,mage,strong,！,,居間で仲間と即興演技
FUN_090,none,mid,。,,食堂で仲間と遊びを考える
FUN_091,maker,strong,！,,河原で友人と石投げを競う
FUN_092,none,strong,！,,公園で家族と輪投げする
FUN_093,scout,weak,…,,宿で仲間と仕掛けを用意
FUN_094,none,weak,。,,部屋で友人と昔の写真を見る
FUN_095,senior,strong,！,,庭で仲間を踊りに誘う
FUN_096,none,mid,。,,工作室で仲間と飾りを作る
FUN_097,steward,strong,！,,広間で仲間を遊びに誘う
FUN_098,none,strong,！,,広場で友人を遊びに誘う
FUN_099,teacher,strong,！,,公園で仲間を遊びに誘う
FUN_100,none,weak,。,,台所で母と料理を楽しむ
FUN_101,none,weak,…,,台所で妹と企む
FUN_102,scout,strong,！,,川辺で仲間と水遊び
FUN_103,none,mid,。,,旅先で友人と道を選ぶ
FUN_104,cool,mid,？,,旅先で友人に寄り道を提案
FUN_105,none,strong,！,,家で友人と声遊びをする
FUN_106,mage,mid,？,,机で弟子に遊びを提案
FUN_107,none,weak,。,,庭で子どもの遊びに応じる
FUN_108,maker,weak,…,,食卓で家族と企む
FUN_109,none,mid,。,,教室で友人と即興話を作る
FUN_110,senior,mid,？,,店で友人に遊びを提案
FUN_111,none,strong,！,,公園で仲間と競争する
FUN_112,steward,mid,？,,食卓で家族に遊びを提案
FUN_113,youth,weak,。,,教室で友人に遊びを提案
FUN_114,none,strong,！,,食卓で友人と早口遊び
FUN_115,teacher,mid,。,,教室で生徒と物語を作る
FUN_116,none,mid,？,,部屋で友人に提案する
FUN_117,none,weak,。,,庭で子の積み木を眺める
FUN_118,cool,mid,。,,店で友人と買い物を楽しむ
FUN_119,none,mid,？,,喫茶店で友人に遊びを提案
FUN_120,none,weak,。,,居間で父の物まねを聞く
FUN_121,mage,mid,。,,食堂で友人と想像を語る
FUN_122,none,strong,！,,川辺で仲間と水切りをする
FUN_123,maker,mid,。,,庭で家族を工作に誘う
FUN_124,none,weak,。,,自宅で姉の衣装を眺める
FUN_125,senior,weak,…,,廊下で後輩と企む
FUN_126,scout,mid,。,,野営地で友人と物語を作る
FUN_127,none,mid,。,,工作室で友人と箱を飾る
FUN_128,steward,mid,。,,庭で家族と影遊び
FUN_129,none,strong,！,,公園で子の遊びに参加
FUN_130,youth,mid,。,,広場で友人を競走に誘う
FUN_131,none,weak,。,,職場で同僚と冗談を言う
FUN_132,teacher,strong,。,,集会所で仲間と演技練習
FUN_133,none,strong,！,,庭で家族に勝負を挑む
FUN_134,none,mid,。,,店で友人とプレゼントを選ぶ
FUN_135,maker,mid,？,,工房で友人を遊びに誘う
FUN_136,none,strong,！,,家で姉と仮装を試す
FUN_137,none,mid,。,,台所で家族と菓子を作る
FUN_138,senior,mid,。,,家で妹と服を選ぶ
FUN_139,scout,mid,？,,広場で友人と競争を相談
FUN_140,none,weak,。,,休憩室で同僚の絵を見る
FUN_141,cool,weak,…,,廊下で同僚と企む
FUN_142,none,strong,！,,家で友人に仮装を勧める
FUN_143,mage,strong,。,,部屋で友人と芝居を作る
FUN_144,none,weak,。,,庭で友人と想像を楽しむ
FUN_145,steward,strong,。,,家で友人と朗読遊び
FUN_146,none,mid,？,,公園で仲間に遊びを提案
FUN_147,youth,strong,。,,工作室で友人と飾りを作る
FUN_148,none,weak,。,,家で弟の仮装を見る
FUN_149,teacher,mid,？,,庭で友人を遊びに誘う
FUN_150,none,mid,。,,庭で友人と宝探しを準備
FUN_151,none,strong,！,,公園で仲間と芝居を作る
FUN_152,cool,weak,。,,庭で友人の帽子をからかう
FUN_153,none,weak,。,,食卓で家族とパンを眺める
FUN_154,mage,weak,。,,台所で友人の失敗を笑う
FUN_155,none,mid,。,,部屋で友人とくじを作る
FUN_156,steward,weak,…,,控室で仲間と仕掛けを用意
FUN_157,none,strong,！,,部屋で弟と遊びを始める
FUN_158,maker,strong,。,,公園で子の遊びに加わる
FUN_159,none,weak,。,,台所で母の飾りを眺める
FUN_160,scout,strong,。,,山小屋で仲間と演技遊び
FUN_161,none,strong,！,,野原で家族と遊ぶ
FUN_162,senior,weak,。,,部室で後輩の作品をからかう
FUN_163,none,weak,。,,台所で友人と盛り付けをする
FUN_164,teacher,weak,。,,居間で家族の冗談に返す
FUN_165,youth,weak,…,,自室で友人と作戦を練る
FUN_166,none,mid,。,,教室で仲間と物語を考える
FUN_167,none,mid,？,,旅先で友人と写真を撮る
