FEAR_001 このまま何も変われなかったらどうしようって、不安が頭の隅から離れない。
FEAR_002 失敗した瞬間に全部終わってしまう気がして、最初の一歩すら踏み出せない。
FEAR_003 本気を出してダメだったとき、自分の価値がゼロになるんじゃないかと怖い。
FEAR_004 期待されればされるほど、裏切る未来ばかり想像してしまって震えそうになる。
FEAR_005 ここで間違えたら、二度とチャンスが来ないんじゃないかって考えてしまう。
FEAR_006 何度も確認したはずなのに、送信ボタンを押す瞬間どうしても手が止まる。
FEAR_007 いざ名前を呼ばれた瞬間、頭の中が真っ白になって何も言えなくなる気がして怖い。
FEAR_008 自分の下した判断で誰かが傷つくかもしれないと思うと、怖くて答えが出せない。
FEAR_009 もう後戻りできないところまで来てしまったんじゃないかと、時々ぞっとする。
FEAR_010 「大丈夫だよ」と言うたび、その言葉が嘘になる日が来るんじゃないかと怯えている。
FEAR_011 嫌われるのが怖くて、本音を飲み込む癖がますます抜けなくなっていく。
FEAR_012 送ったメッセージに返信が来ないだけで、関係全部が終わったような気がしてしまう。
FEAR_013 誰かにとって「どうでもいい人」になっているかもしれないと思うと心臓が縮こまる。
FEAR_014 誘いを断られたら、二度と声をかけちゃいけない気がして怖い。
FEAR_015 冗談のつもりで言った一言が、相手を深く傷つけていたらと思うと眠れなくなる。
FEAR_016 「また今度ね」が社交辞令だったとしたら、と考えてしまって次の誘いができない。
FEAR_017 グループの中で、自分だけ浮いているんじゃないかという不安がまとわりつく。
FEAR_018 自分がいないところで笑い声が聞こえると、話題が全部自分の悪口に思えてしまう。
FEAR_019 好きって気持ちを伝えた瞬間、今の関係すら壊れてしまう未来が怖い。
FEAR_020 「一人で平気」と言い続けて、本当に誰もいなくなったらと思うと震えがくる。
FEAR_021 このまま今の仕事が続けられなくなったら、明日からどうやって生きていけばいいんだろう。
FEAR_022 転職したい気持ちはあるのに、次の職場で通用しなかったらと思うと足がすくむ。
FEAR_023 実力以上に評価されている気がして、いつバレるのかとびくびくしている。
FEAR_024 上司の小さなため息ひとつに、自分の存在価値まで揺らいでしまう。
FEAR_025 会議で意見を求められるたび、頭の中が空っぽになる未来しか見えなくて怖い。
FEAR_026 仕事のミスで誰かの時間やお金を奪ってしまうかもしれないと思うと、緊張で手が震える。
FEAR_027 「必要とされなくなったら」という言葉が、ずっと心のどこかで鳴り続けている。
FEAR_028 働けなくなった自分の姿を想像してしまって、将来のことを考えるのが怖くなる。
FEAR_029 みんなが当たり前にこなしていることも、自分だけギリギリで回している気がして不安だ。
FEAR_030 この椅子が、いつか自分以外の誰かのものになる日が来るのだと思うと、妙な怖さがある。
FEAR_031 テストの結果を見る瞬間、紙をめくる手が汗で少し震えてしまう。
FEAR_032 みんなの前で間違えたら笑われるんじゃないかという気持ちが、発表のたびに喉を締めつける。
FEAR_033 誰も笑っていないのに、自分の答案だけ変なミスをしている気がして落ち着かない。
FEAR_034 先生に指名されるたび、答えられなかった未来が頭の中で何度も再生されてしまう。
FEAR_035 部活動をサボったことを、周りがどう思っているのか考えると胃がきゅっとなる。
