id,character_style,intensity,length_chars,punctuation,phoneme_tags,near_pair_group,reading_ease_score
05_SURPRISE_001,boy,strong,33,！,SOKUON;HATSUON;DAKUON,,4
05_SURPRISE_002,none,strong,31,！,YOUON;SOKUON;HATSUON;DAKUON,,4
05_SURPRISE_003,friend,strong,29,！,YOUON;SOKUON;HATSUON;DAKUON,,4
05_SURPRISE_004,adventurer,strong,30,！,YOUON;SOKUON;HATSUON;DAKUON,,4
05_SURPRISE_005,girl,strong,31,！,SOKUON;CHOON;DAKUON,,4
05_SURPRISE_006,swordsman,strong,32,？,YOUON;SOKUON;DAKUON,,4
05_SURPRISE_007,mage,weak,33,。,HATSUON;DAKUON,,4
05_SURPRISE_008,teacher,strong,33,！,YOUON;SOKUON;HATSUON;DAKUON,,4
05_SURPRISE_009,boy,strong,35,！,SOKUON;HATSUON;DAKUON,,4
05_SURPRISE_010,girl,strong,34,！,SOKUON;HATSUON;CHOON;DAKUON,,4
05_SURPRISE_011,cool,strong,34,！,YOUON;SOKUON;HATSUON;DAKUON,,4
05_SURPRISE_012,maid,strong,30,！,YOUON;SOKUON;HATSUON;DAKUON,,4
05_SURPRISE_013,friend,strong,32,？,SOKUON;HATSUON;DAKUON,,4
05_SURPRISE_014,none,strong,33,。,YOUON;SOKUON;HATSUON;CHOON;DAKUON;HANDAKUON,,4
05_SURPRISE_015,knight,strong,31,！,SOKUON;HATSUON;DAKUON,,4
05_SURPRISE_016,boy,strong,32,！,YOUON;SOKUON;HATSUON;DAKUON,,4
05_SURPRISE_017,maid,strong,35,？,YOUON;SOKUON;HATSUON;DAKUON,,4
05_SURPRISE_018,girl,strong,33,！,YOUON;SOKUON;DAKUON;HANDAKUON,,4
05_SURPRISE_019,teacher,mid,36,。,HATSUON;DAKUON,,4
05_SURPRISE_020,swordsman,strong,31,！,SOKUON;HATSUON;DAKUON,,4
05_SURPRISE_021,boy,strong,29,！,SOKUON;HATSUON;DAKUON;HANDAKUON,,4
05_SURPRISE_022,mage,strong,37,。,YOUON;SOKUON;HATSUON;DAKUON,,4
