id,character_style,intensity,punctuation,near_pair_group,scene
CONTEMPT_001,none,weak,。,,職場で同僚の言い訳を聞く
CONTEMPT_002,cool,mid,。,,店で知人の横柄な態度を見る
CONTEMPT_003,none,mid,。,,店で知人の横柄な態度を見る
CONTEMPT_004,mage,mid,。,,食堂で仲間の横取りを見る
CONTEMPT_005,none,weak,。,,職場で空疎な報告を見る
CONTEMPT_006,maker,mid,。,P07,工房で同僚の雑な品を見る
CONTEMPT_007,none,strong,。,P01,教室で同級生の不正を見る
CONTEMPT_008,scout,mid,。,P13,宿で仲間の空自慢を聞く
CONTEMPT_009,none,weak,。,P02,校庭で仲間のルール変更を笑う
CONTEMPT_010,senior,mid,。,P09,教室で友人の態度の変化を見る
CONTEMPT_011,none,mid,。,P03,職場で同僚の空疎な案を聞く
CONTEMPT_012,steward,mid,。,P05,受付で客の威張りを受け流す
CONTEMPT_013,teacher,weak,。,,教室で生徒の自慢を受け流す
CONTEMPT_014,none,strong,。,,会議室で上司の手柄話を聞く
CONTEMPT_015,youth,mid,。,,家で兄の言い訳を聞く
CONTEMPT_016,none,weak,。,,教室で友人の知ったかぶりを聞く
CONTEMPT_017,none,weak,。,P04,会場で知人の態度を眺める
CONTEMPT_018,cool,mid,。,P03,会議室で同僚の中身のない案を聞く
CONTEMPT_019,none,strong,。,P05,受付で威張る客を見切る
CONTEMPT_020,none,mid,。,,家で知人の自慢を聞く
CONTEMPT_021,mage,weak,。,,庭で知人の自慢を聞く
CONTEMPT_022,none,mid,。,P06,職場で先輩の空自慢を聞く
CONTEMPT_023,teacher,mid,。,P11,職場で同僚の成果横取りを見る
CONTEMPT_024,none,weak,。,P07,工房で見せかけの品を見る
CONTEMPT_025,youth,mid,。,P01,教室で友人の手柄横取りを見る
CONTEMPT_026,maker,mid,。,,家で知人の自慢を聞く
CONTEMPT_027,none,strong,。,,職場で相手の責任逃れを見抜く
CONTEMPT_028,scout,weak,。,,山道で仲間の強がりを見る
CONTEMPT_029,none,weak,。,,会場で知人のへつらいを眺める
CONTEMPT_030,senior,mid,。,,店で知人の店員への態度を見る
CONTEMPT_031,none,mid,。,,工房で相手の手抜きを見る
CONTEMPT_032,steward,mid,。,,家で知人の責任逃れを聞く
CONTEMPT_033,none,strong,。,,学校で友人の不正を笑う
CONTEMPT_034,none,mid,。,P08,店で知人の知ったかぶりを聞く
CONTEMPT_035,mage,mid,。,P15,書斎で弟子の受け売りを聞く
CONTEMPT_036,none,mid,？,,教室で友人の自慢を聞く
CONTEMPT_037,none,strong,！,P09,廊下で相手の態度の変化を見る
CONTEMPT_038,cool,strong,。,P04,職場で上司の態度の変化を見る
CONTEMPT_039,scout,mid,。,,市場で客引きの嘘を見抜く
CONTEMPT_040,none,weak,。,,職場で同僚の自己宣伝を聞く
CONTEMPT_041,maker,strong,。,P08,店で客の知ったかぶりを聞く
CONTEMPT_042,none,weak,。,P10,会場で同僚の成果横取りを見る
CONTEMPT_043,senior,strong,。,P10,部室で仲間の手柄話を聞く
CONTEMPT_044,none,mid,。,P11,職場で同僚の名前追加を見る
CONTEMPT_045,steward,weak,。,,食堂で客の見栄を見抜く
CONTEMPT_046,none,mid,。,,家で相手の約束破りを見切る
CONTEMPT_047,teacher,mid,。,,職員室で同僚の知ったかぶりに
CONTEMPT_048,none,strong,。,,会議で責任者の判断を聞く
CONTEMPT_049,youth,strong,！,,部室で仲間の空威張りを見る
CONTEMPT_050,none,weak,。,,店で知人の批評を聞く
CONTEMPT_051,none,weak,。,P12,会議で上司の言い逃れを聞く
CONTEMPT_052,mage,strong,。,P16,工房で相手の実験偽装を見る
CONTEMPT_053,none,strong,！,,会議で言い逃れを笑う
CONTEMPT_054,scout,strong,。,P14,野営地で仲間の食料横取りを見る
CONTEMPT_055,none,strong,！,P13,宿で仲間の空威張りを笑う
CONTEMPT_056,steward,strong,。,P06,控室で同僚の空自慢を聞く
CONTEMPT_057,none,mid,。,P14,食堂で仲間の独占を見る
CONTEMPT_058,teacher,strong,。,P12,会議室で責任者の逃げを聞く
CONTEMPT_059,none,weak,？,P15,図書室で知人の受け売りを聞く
CONTEMPT_060,youth,strong,。,P02,校庭で仲間の不正を見抜く
CONTEMPT_061,cool,weak,。,,机で同僚の報告を読む
CONTEMPT_062,none,strong,！,P16,工房で不正な発表を見抜く
CONTEMPT_063,maker,weak,。,,作業場で同僚の責任逃れを見る
CONTEMPT_064,none,weak,。,,職場で同僚の弁解を聞く
CONTEMPT_065,senior,weak,。,,教室で後輩の言い訳を聞く
CONTEMPT_066,none,mid,。,,店で知人の自慢を聞く
CONTEMPT_067,none,mid,。,,教室で友人の追従を眺める
CONTEMPT_068,maker,weak,。,,工房で弟子の言い訳を聞く
CONTEMPT_069,none,strong,。,,職場で上司の無責任を見切る
CONTEMPT_070,none,strong,！,,教室で友人の不正を見抜く
CONTEMPT_071,cool,weak,。,,職場で同僚の成果横取りを聞く
CONTEMPT_072,none,weak,。,,会場で相手の見栄を見る
CONTEMPT_073,mage,weak,。,,書斎で相手の権威借用を聞く
CONTEMPT_074,none,mid,。,,家で兄の怠慢を冷笑する
CONTEMPT_075,scout,weak,。,,街道で相手の追従を見る
CONTEMPT_076,senior,weak,。,,廊下で友人の自慢を聞く
CONTEMPT_077,none,strong,！,,職場で同僚の責任転嫁を見る
CONTEMPT_078,steward,weak,。,,広間で相手の追従を眺める
CONTEMPT_079,none,weak,。,,公園で知人の口先の親切を聞く
CONTEMPT_080,teacher,weak,。,,集会所で相手の肩書き自慢を聞く
CONTEMPT_081,none,weak,。,,食堂で知人の見栄を見る
CONTEMPT_082,youth,mid,？,,教室で友人の成果を疑う
