ANNOUNCE_001 まもなく開館します。
ANNOUNCE_002 ご案内の時刻までロビーでお待ちください。
ANNOUNCE_003 まもなく列車が到着しますので、黄色い点字ブロックの内側まで十分にお下がりください。
ANNOUNCE_004 青い案内板に本日の予定を掲示しています。
ANNOUNCE_005 本館の開館時刻は午前9時となり、正面入口の扉はその10分前からご利用になれます。
ANNOUNCE_006 入口は右手にあります。
ANNOUNCE_007 次の停車駅に着きますと、右側の扉が開きます。
ANNOUNCE_008 大きなお荷物をお持ちの方は、空いている保管場所まで係員がご案内いたします。
ANNOUNCE_009 次の停車駅では進行方向の右側が開きますので、扉の前を広く空けてお待ちください。
ANNOUNCE_010 駆け込み乗車は大変危険ですのでおやめください。
ANNOUNCE_011 館内で見つかった落とし物は1階の受付で預かり、3か月間大切に保管いたします。
ANNOUNCE_012 館内の落とし物は1階受付で保管しています。
ANNOUNCE_013 足元にご注意ください。
ANNOUNCE_014 図書室をご利用の際は携帯電話を静音にし、周囲の方へ配慮してお過ごしください。
ANNOUNCE_015 大きなお荷物は係員がお預かりいたします。
ANNOUNCE_016 野菜売り場では地元で採れた品を入口側に並べ、価格を白い札で表示しております。
ANNOUNCE_017 パン売り場は正面入口の左手にございます。
ANNOUNCE_018 ただいま駐車場が混み合っているため、係員の案内に従って順番にお進みください。
ANNOUNCE_019 本日の最終入場は午後7時となります。
ANNOUNCE_020 発車時刻が近づいておりますので、乗車券を用意して3番線ホームへお進みください。
ANNOUNCE_021 受付は1階にございます。
ANNOUNCE_022 ただいま設備の安全を確認しております。
ANNOUNCE_023 展示品には手を触れず、作品から少し離れた位置で静かにご覧くださいますようお願いします。
ANNOUNCE_024 白線の内側まで下がってお待ちください。
ANNOUNCE_025 会議室の利用を終えた方は、机と椅子を元の位置へ戻して受付へ鍵をご返却ください。
ANNOUNCE_026 プールへ入る前には化粧や整髪料を落とし、シャワーを十分に浴びてください。
ANNOUNCE_027 図書の返却は入口横の箱でも承ります。
ANNOUNCE_028 午後の館内ツアーへ参加される方は、開始5分前までに中央広場へお集まりください。
ANNOUNCE_029 会場内では携帯電話の音をお切りください。
ANNOUNCE_030 設備点検が終わるまでエレベーターを停止し、係員が階段へご案内いたします。
ANNOUNCE_031 ただいま発車いたします。
ANNOUNCE_032 お呼び出しの方は案内所へお越しください。
ANNOUNCE_033 本日の診察受付は午後5時に終了しますが、予約済みの方はそのままお待ちください。
ANNOUNCE_034 車椅子やベビーカーをご利用の方は、段差のない西側入口からお入りください。
ANNOUNCE_035 この先の階段は上り専用となっています。
ANNOUNCE_036 非常ベルが鳴った場合は荷物をその場に置き、最寄りの出口から落ち着いて避難してください。
ANNOUNCE_037 展示室へは中央の通路からお進みください。
