NORMAL_001 窓、少し開けるね。
NORMAL_002 今朝はよく眠れたみたいで、昨日より顔色がいいね。
NORMAL_003 午後は雨らしいから、朝ごはんが終わったら空いている商店街を少し歩かない？
NORMAL_004 あの店のパン、君も好きそうだから買ってきたよ。
NORMAL_005 書斎の窓から入る風が気持ちいいね、今日はここで本を読んで過ごしたくなるよ。
NORMAL_006 鍵なら棚に置いたよ。
NORMAL_007 玄関のチャイム、昼前に1回鳴ったよね。
NORMAL_008 次の停留所で降りたら、駅前の喫茶店で君が好きそうなケーキを一緒に食べない？
NORMAL_009 さっきから緊張してるみたいだけど、順番が来るまで昔の面白い話でもしていようか。
NORMAL_010 出かける前に、荷物を一通り見直そう！
NORMAL_011 午前に届いた手紙、本当に懐かしい字だったから開ける前に君へ見せたかったんだ。
NORMAL_012 今日の昼休みは中庭のベンチを使わない？
NORMAL_013 お茶、冷めちゃったね。
NORMAL_014 外から戻ったら髪がびしょぬれだったから、先にお風呂でゆっくり温まってきてね。
NORMAL_015 予備の電池もリュックに入れていこうか？
NORMAL_016 台所に残っていた野菜を細かく切ったから、夕飯は温かいしょうゆ味のスープにしよう。
NORMAL_017 冷蔵庫に未開封の牛乳がまだ2本あるよ。
NORMAL_018 青いフォルダーを開いたら昔の写真が出てきて、つい君にも見せたくなったんだ。
NORMAL_019 帰りに駅前の薬局へ寄るつもりなんだ。
NORMAL_020 雨が降りそうだから庭へ出るならこの傘を持っていってね、風邪をひくと困るよ。
NORMAL_021 電車は予定どおり来るよ。
NORMAL_022 返事をゆっくり読んでから一緒に決めよう…
NORMAL_023 読みかけの本、君も気になってたよね、読み終わったら感想をゆっくり話そう。
NORMAL_024 さっきの話、帰り道にもう少し聞かせてよ。
NORMAL_025 明日の会議は12人も集まるらしいけど、知っている顔が多いから心配しなくていいよ。
NORMAL_026 廊下の空き箱、隣の人が引っ越しに使いたいって、あとで取りに来るらしいよ。
NORMAL_027 今日は薄い上着と小さな傘を持っていくね。
NORMAL_028 冷蔵庫を開けたら君の好きなプリンがひとつ残ってたから、帰るまで取っておいたよ。
NORMAL_029 その髪型、いつもより大人っぽく見えるね！
NORMAL_030 電話で君の声が聞けるまで、今日あった出来事を手帳に書いてずっと待っているね…
NORMAL_031 パン、半分こにしよう！
NORMAL_032 この道を進めば、石橋の先へ出るはずだよ。
NORMAL_033 日差しが弱くなってきたし、ベランダの洗濯物をたたんで部屋へ取り込もうか。
NORMAL_034 今夜は久しぶりに友達が来るから、昔みたいに夜更かししてたくさん話そうか？
NORMAL_035 食器は水気がなくなってから棚へしまおう。
NORMAL_036 朝から元気がなさそうだけど、仕事を始める前にゆっくり話を聞かせてくれる？
NORMAL_037 小さな鉢は日当たりのいい窓辺へ移したよ。
NORMAL_038 門の近くで君を待っていたら、昔から知っている近所の人が声をかけてくれたよ。
NORMAL_039 おばあちゃんから、今度遊びにおいでって電話があったよ。
NORMAL_040 昼に届く荷物、弟からの贈り物らしいから、帰ったら家族で一緒に開けようよ。
NORMAL_041 雨、まだしばらく続くね。
NORMAL_042 出発時刻をあと10分だけ早めてもいい？
NORMAL_043 絵を全部描き終えたら、窓辺にきれいに並べてお互いの好きなところをゆっくり話そう。
NORMAL_044 週末の映画、席が空いてるうちに予約しない？
NORMAL_045 時計の電池を替えたら止まっていた針がちゃんと動き出して、少しほっとしたよ。
NORMAL_046 この机、こっちへ移すね。
NORMAL_047 明日の昼、点検の担当者が来るんだって。
NORMAL_048 風が強くなってきたから、今日は出かけずに家で映画を一本ゆっくり見ようか。
NORMAL_049 この案内図を見ていたら、子どもの頃によく遊んだ公園まで載っていて懐かしいよ。
NORMAL_050 今日届いた手紙、差出人を見て驚いたよ！
NORMAL_051 休憩室に温かいお茶があるから、仕事の話は置いて一緒に少しひと息つかない？
NORMAL_052 空いた容器は重ねずに、まとめて洗おう。
NORMAL_053 切手は封筒に貼っておくね。
NORMAL_054 出発前にみんなの顔を見たら安心したよ、今日の遠足はきっとすごく楽しくなるね！
NORMAL_055 階段の横に白い案内板が置いてあったよ。
NORMAL_056 午後は昔の友達が来るから、君にも紹介したいし一緒にゆっくりお茶を飲まない？
NORMAL_057 昼食はもう4人分で予約してあるからね。
NORMAL_058 帰る時間が変わりそうなら、心配だから短い連絡だけでも忘れずにくれるかな？
NORMAL_059 眠そうだね、温かいココアでも入れようか。
NORMAL_060 引き出しの奥から昔の手紙が出てきたんだけど、今夜こっそり一緒に読んでみない？
NORMAL_061 先に窓を閉めようか？
NORMAL_062 雨はきょうの夕方にはやむらしいよね。
NORMAL_063 先に洗濯を済ませてから、昼ごはんに使う野菜と魚を一緒に歩いて買いに行こうよ。
NORMAL_064 次の連絡が来るまで、自分の席で待つよ…
NORMAL_065 会場に椅子と机を並べたら雰囲気が変わったから、入口から写真を撮ってみたよ。
NORMAL_066 返す本を鞄に入れたか、玄関で持ち物をもう一度ゆっくり確かめてから出かけよう…
NORMAL_067 お皿を並べる場所、こっちに決めたよ。
NORMAL_068 朝に炊いたご飯がまだ残ってるから、お昼はおにぎりにして近くの公園で食べない？
NORMAL_069 あの静かな窓側の席へ移ってもいいかな？
NORMAL_070 もう予定の時刻だけど、みんなと話していると楽しくて出発するのが少し惜しいね！
NORMAL_071 靴なら玄関にあるよ。
NORMAL_072 帰りが遅くなるなら、駅まで迎えに行くよ。
NORMAL_073 白い封筒が20枚も残ってたから、今度みんなへ手紙を書いてみようと思うんだ。
NORMAL_074 棚の奥から昔よく着ていた服が出てきて、懐かしくてついしばらく眺めてたよ。
NORMAL_075 新しいタオル、洗面所の棚へ移しておくね。
NORMAL_076 仕事はもう十分頑張ったから、今夜は帰ったら明かりを落としてゆっくり休んでね。
NORMAL_077 午前の作業、予定より早く終わったね。
NORMAL_078 買ってきた苗は午後の強い日差しを避けて、風が穏やかな軒下へ置いておいたよ。
