01_JOY_001 すっごく嬉しい！初めて私が焼いたパンを美味しいって言ってくれたの。
01_JOY_002 お見事。まさか私が仕掛けた十重の結界を、一瞬で解除するとはな。
01_JOY_003 いやー、今年のワインの出来は控えめに言っても最高ですね。
01_JOY_004 この街の景色は、いつ見ても心が洗われるように美しいな。
01_JOY_005 おや？君もあの本を読んだのかな？それはすごく嬉しいね。
01_JOY_006 あははっ！君って本当に面白いことばかり言う天才だね！
01_JOY_007 まさか、あんな強大な悪魔を君一人で倒してしまうなんてすごいな。
01_JOY_008 ふぅ、ようやくこの膨大な資料の整理が終わりましたよ。
01_JOY_009 ありがとうございます。お陰様で無事に王都まで辿り着けました。
01_JOY_010 やったぜ！このプロジェクトが大成功して、俺たちの評価も爆上がりだ！
01_JOY_011 お見事です。あの難題をわずか一日で片付けるとは驚きました。
01_JOY_012 よくやったな。君がそこまで成長してくれるとは、師匠として鼻が高いぞ。
01_JOY_013 おお！こんなに美しい宝石が現実に存在するとは、まさに奇跡じゃな！
01_JOY_014 やっほー！今日は待ちに待ったお祭りだから、思い切り楽しむぞー！
01_JOY_015 あらあら、手伝ってくれるの？それはすごく助かるわ、ありがとう。
01_JOY_016 えへへっ、今日はお兄ちゃんと一緒に遊園地に行けるんだね！
01_JOY_017 ありがとっ！先輩のおかげで、ついにオーディションに合格したんです！
01_JOY_018 よっしゃあ！次のステージに進むための鍵をやっとゲットしたぜ！
01_JOY_019 雲が全くて、本当に気持ちのいい晴天だね。
01_JOY_020 ぽかぽかして、ピクニックには最高の天気でお弁当も美味しいね。
01_JOY_021 はぁ、どうにか罠を回避して無事に抜け出せましたね。
01_JOY_022 うんうん、君の努力がしっかり実を結んだのだな。先生として誇らしいぞ。
01_JOY_023 わあ！満点の星空だ！こんなに綺麗な夜空、初めて見たよ！
01_JOY_024 ははっ！俺たちにかかれば、こんなクエストは朝飯前ってやつだぜ。
01_JOY_025 お疲れ様。君が頑張っていたことは、私が一番よく知っているよ。
01_JOY_026 素晴らしい！この花壇のバラは今までで一番綺麗に咲いたよ。
01_JOY_027 おお、よくぞここまで辿り着いた！君たちの勇気に敬意を表そう。
01_JOY_028 今年の小麦は、例年にも増して豊かな実りとなりましたね。
01_JOY_029 よっしゃ！ようやく試験で満点取れたぜ。
01_JOY_030 はあ、やっと今月分の魔導書の解析が全て完了したな。
01_JOY_031 ふふっ、この新作のクッキー、とっても美味しく焼き上がったわ。
01_JOY_032 やった！今日のテスト、全然勉強してなかったのに思いの外いい点数だったぜ！
01_JOY_033 うん！先輩がそう言ってくれるなら、私も自信を持って頑張れそうです。
01_JOY_034 いやぁ、まさかこんな裏道に隠し宝物庫があるとはね！
01_JOY_035 やったー！大好きなアニメの最新話が、今日から放送開始なんだ！
01_JOY_036 よしっ、丹精込めて作り上げたこの剣、ついに打ち上がったぞ！
01_JOY_037 あはは、あの時の君の逃げ足の速さときたら、本当に見物だったよ。
01_JOY_038 わぁい、みんなでお誕生日パーティーをしてくれるの？すごく嬉しい！
01_JOY_039 わーい！パパが早く帰ってきたから、一緒にゲームして遊べるね！
01_JOY_040 いいね！そういう大胆でアグレッシブな作戦、俺は嫌いじゃないぜ。
01_JOY_041 ほう、君もついにあの魔法を習得したか。見違えるほど立派になったな。
01_JOY_042 ありがとう、あなたが隣にいてくれるだけで、私の毎日はとても幸せよ。
01_JOY_043 ほう、君もその良さが分かるのか。実に素晴らしい審美眼を持っているな。
01_JOY_044 やったー！ついにテストで百点取ったよ！
01_JOY_045 うわぁ、このお肉すっごく柔らかくて美味しいね！
01_JOY_046 ほほう、なかなか面白い仕掛けじゃないか。見事に解いてみせよう！
01_JOY_047 やったぜ！これでもう俺たちの村を脅かすモンスターはいなくなったんだ！
01_JOY_048 俺にプレゼントだって？サンキュー、大事に使わせてもらうぜ。
01_JOY_049 やったぜえ！ついに全国大会の決勝まで駒を進めたぞ！
01_JOY_050 うん！こんなに美味しいケーキ、今まで食べたことないです！
01_JOY_051 はははっ！今日は飲んで歌って、朝まで思い切り騒ごうぜ！
01_JOY_052 やったー、雨がようやく上がって綺麗な虹が出ているよ！
01_JOY_053 わぁ！この絵、すごく上手に描けてる！コンクールに出せるんじゃない？
01_JOY_054 あのお方からお褒めの言葉をいただけるとは、武人としてこの上のない名誉。
01_JOY_055 さすがは我が弟子じゃ。ワシの教えを完璧に自分のものにしておる。
01_JOY_056 ふふ、この香水、あなたが私のために選んでくれたのね。とても良い香り。
